Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Stangeria eriopus,(Kunze) Baill.,821923-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Zamia acuminata,Oerst. ex Dyer,297237-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia angustifolia,Jacq.,270503-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia chigua,Seem.,297256-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia fairchildiana,L.D.Gómez,270518-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia furfuracea,L.f. ex Aiton,270522-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Zamia integrifolia,L.f.,270527-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Zamia loddigesii,Miq.,297327-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Zamia muricata,Willd.,270552-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia pumila,L.,270561-2,Environmental Uses; Human Food; Materials; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Zamia pygmaea,Sims,270563-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia roezlii,Regel ex Linden,297372-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia skinneri,Warsz. ex A.Dietr.,297378-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Zamia standleyi,Schutzman,287154-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Zamia verschaffeltii,Miq.,297405-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Ginkgo biloba,L.,262125-1,Environmental Uses; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Ephedra alata,Decne.,383343-1,Animal Food; Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra altissima,Desf.,60459745-2,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Ephedra americana,Humb. & Bonpl. ex Willd.,383352-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra antisyphilitica,Berland. ex C.A.Mey.,383355-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra aphylla,Forssk.,383356-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Ephedra aspera,Engelm. ex S.Watson,383362-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra breana,Phil.,91122-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra californica,S.Watson,383367-1,Animal Food; Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra chilensis,C.Presl,329491-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra compacta,Rose,91125-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra coryi,E.L.Reed,91126-2,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra cutleri,Peebles,91128-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra dahurica,Turcz.,383378-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra distachya,L.,383381-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra equisetina,Bunge,928049-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra fasciculata,A.Nelson,383389-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra foeminea,Forssk.,383392-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Ephedra foliata,Boiss. ex C.A.Mey.,326016-1,Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra fragilis,Desf.,383397-1,Animal Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra frustillata,Miers,383398-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra gerardiana,Wall. ex Klotzsch & Garcke,60470164-2,Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra intermedia,Schrenk & C.A.Mey.,383409-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra likiangensis,Florin,383413-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra major,Host,383420-1,Animal Food; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra minuta,Florin,383425-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra monosperma,J.G.Gmel. ex C.A.Mey.,1008173-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra multiflora,Phil. ex Stapf,383431-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra nevadensis,S.Watson,383434-1,Animal Food; Environmental Uses; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra ochreata,Miers,276559-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra pachyclada,Boiss.,383437-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra pedunculata,Engelm. ex S.Watson,383441-1,Animal Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra przewalskii,Stapf,383449-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ephedra sinica,Stapf,383460-1,Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra torreyana,S.Watson,30155955-2,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra triandra,Tul.,383468-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra trifurca,Torr. ex S.Watson,383471-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ephedra tweedieana,C.A.Mey.,383472-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ephedra viridis,Coville,91144-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Gnetum africanum,Welw.,383499-1,Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Gnetum buchholzianum,Engl.,383505-1,Gene Sources; Human Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Gnetum costatum,K.Schum.,383510-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Gnetum cuspidatum,Blume,383512-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Gnetum edule,(Willd.) Blume,383515-1,Materials; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS)
Gnetum gnemon,L.,383520-1,Animal Food; Fuels; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Gnetum gnemonoides,Brongn.,383521-1,Human Food; Materials; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Gnetum latifolium,Blume,383530-1,Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Gnetum luofuense,C.Y.Cheng,383537-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gnetum macrostachyum,Hook.f.,383540-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Gnetum microcarpum,Blume,383542-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS)
Gnetum montanum,Markgr.,383546-1,Human Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Gnetum neglectum,Blume,383547-1,Materials,False,Kew's Economic Botany Collection (EcBot); Plant Resources of South-East Asia (PROSEA)
Gnetum parvifolium,(Warb.) W.C.Cheng,383557-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Gnetum tenuifolium,Ridl.,383572-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Welwitschia mirabilis,Hook.f.,383591-1,Animal Food; Environmental Uses; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Acorus calamus,L.,84009-1,Environmental Uses; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,
Acorus gramineus,Aiton,84019-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Albidella oligococca,(F.Muell.) Lehtonen,77163628-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Alisma canaliculatum,A.Braun & C.D.Bouché,327944-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Alisma lanceolatum,With.,1047073-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Alisma plantago-aquatica,L.,30019518-2,Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Alisma subcordatum,Raf.,8509-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Aquarius cordifolius,(L.) Christenh. & Byng,77182733-1,Environmental Uses,False,
Aquarius floribundus,(Seub.) Christenh. & Byng,77183476-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Aquarius grisebachii,(Small) Christenh. & Byng,77183004-1,Environmental Uses,False,
