Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Isodon oresbius,(W.W.Sm.) Kudô,448600-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Isodon ramosissimus,(Hook.f.) Codd,448607-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Isodon rubescens,(Hemsl.) H.Hara,915158-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Isodon rugosus,(Wall. ex Benth.) Codd,448611-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Isodon sculponeatus,(Vaniot) Kudô,448613-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Isodon ternifolius,(D.Don) Kudô,448620-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Isodon yuennanensis,(Hand.-Mazz.) H.Hara,915173-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Kalaharia uncinata,(Schinz) Moldenke,863170-1,Environmental Uses; Gene Sources; Human Food; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Lagochilus gypsaceus,Vved.,448727-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lagochilus inebrians,Bunge,448735-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lagochilus platyacanthus,Rupr.,448754-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lagochilus platycalyx,Schrenk ex Fisch. & C.A.Mey.,448755-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lagopsis supina,(Stephan ex Willd.) Ikonn.-Gal.,448771-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lallemantia canescens,(L.) Fisch. & C.A.Mey.,448774-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Lallemantia iberica,(M.Bieb.) Fisch. & C.A.Mey.,448775-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Lallemantia peltata,(L.) Fisch. & C.A.Mey.,448777-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lallemantia royleana,(Benth.) Benth.,448778-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Lamium album,L.,448792-1,Environmental Uses; Invertebrate Food; Medicines,False,European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Lamium amplexicaule,L.,448797-1,Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lamium galeobdolon,(L.) L.,60452701-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lamium maculatum,(L.) L.,448886-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lamium orientale,(Fisch. & C.A.Mey.) E.H.L.Krause,448915-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lamium purpureum,L.,448939-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lavandula angustifolia,Mill.,449008-1,Environmental Uses; Invertebrate Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Lavandula bipinnata,(Roth) Kuntze,449017-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lavandula coronopifolia,Poir.,449029-1,Animal Food; Materials,False,Useful Plants of West Tropical Africa (UPWTA)
Lavandula dentata,L.,449031-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Lavandula latifolia,Medik.,449051-1,Environmental Uses; Invertebrate Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lavandula pedunculata,(Mill.) Cav.,449070-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lavandula pubescens,Decne.,449077-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lavandula stoechas,L.,449089-1,Environmental Uses; Human Food; Invertebrate Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Lavandula subnuda,Benth.,449093-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lavandula viridis,L'Hér.,449098-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leonotis leonurus,(L.) R.Br.,449133-1,Environmental Uses; Invertebrate Food; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP)
Leonotis nepetifolia,(L.) R.Br.,127310-3,Animal Food; Environmental Uses; Human Food; Materials; Medicines; Social Uses,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plant Project (UPP); Malaria and Fever in Latin America dataset
Leonotis ocymifolia,(Burm.f.) Iwarsson,915192-1,Animal Food; Human Food; Invertebrate Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Leonurus cardiaca,L.,449168-1,Environmental Uses; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Leonurus glaucescens,Bunge,449185-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leonurus japonicus,Houtt.,449195-1,Medicines,False,Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Leonurus macranthus,Maxim.,449201-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Leonurus quinquelobatus,Gilib.,449227-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leonurus sibiricus,L.,449232-1,Medicines; Social Uses,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Leonurus tataricus,L.,449237-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Leonurus turkestanicus,V.I.Krecz. & Kuprian.,449240-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia betonicifolia,(Lam.) Epling,137859-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia bullata,(Kunth) Epling,137860-2,Medicines,False,Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Lepechinia calycina,(Benth.) Epling,137861-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia caulescens,(Ortega) Epling,137865-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia conferta,(Benth.) Epling,137869-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia meyenii,(Walp.) Epling,449276-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia mutica,(Benth.) Epling,137887-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia radula,(Benth.) Epling,137890-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia salviae,(Lindl.) Epling,137893-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia schiedeana,(Schltdl.) Vatke,449287-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lepechinia vesiculosa,(Benth.) Epling,137901-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas aspera,(Willd.) Link,449314-1,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Leucas biflora,(Vahl) Sm.,449321-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas calostachys,Oliv.,449327-1,Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plant Project (UPP)
Leucas capensis,(Benth.) Engl.,449328-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas cephalotes,(Roth) Spreng.,449332-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Leucas ciliata,Benth.,449336-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas decemdentata,(Willd.) Sm.,449344-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas deflexa,Hook.f.,449347-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Leucas glabrata,(Vahl) Sm.,449370-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas grandis,Vatke,449372-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Leucas hirta,(B.Heyne ex Roth) Spreng.,449381-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas lanata,Benth.,449404-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas lavandulifolia,Sm.,449408-1,Animal Food; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Leucas marrubioides,Desf.,449418-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Leucas martinicensis,(Jacq.) R.Br.,941331-1,Animal Food; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP); Useful Plants of West Tropical Africa (UPWTA)
Leucas nutans,(Roth) Spreng.,449451-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas oligocephala,Hook.f.,449455-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Leucas pechuelii,(Kuntze) Baker,449465-1,Animal Food; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Leucas pilosa,Benth.,449466-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas sexdentata,Skan,449492-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas stelligera,Wall. ex Benth.,449501-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas stricta,Benth.,449504-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas urticifolia,(Vahl) Sm.,60454705-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas vestita,Benth.,449523-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Leucas zeylanica,(L.) W.T.Aiton,115615-3,Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Leucosceptrum canum,Sm.,449566-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Lycopus americanus,Muhl. ex W.P.C.Barton,147703-2,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lycopus asper,Greene,147711-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Lycopus europaeus,L.,449641-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lycopus lucidus,Turcz. ex Benth.,449660-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Lycopus uniflorus,Michx.,449690-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Lycopus virginicus,L.,449692-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Marrubium anisodon,K.Koch,449834-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Marrubium astracanicum,Jacq.,449839-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Marrubium incanum,Desr.,449905-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Marrubium peregrinum,L.,449945-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Marrubium supinum,L.,449975-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Marrubium vulgare,L.,449990-1,Environmental Uses; Human Food; Invertebrate Food; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Marsypianthes chamaedrys,(Vahl) Kuntze,449997-1,Medicines,False,Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Medusantha martiusii,(Benth.) Harley & J.F.B.Pastore,77120933-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Meehania fargesii,(H.Lév.) C.Y.Wu,450010-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Meehania henryi,(Hemsl.) Y.Z.Sun ex C.Y.Wu,450011-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Melissa axillaris,(Benth.) Bakh.f.,450032-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Melissa officinalis,L.,450084-1,Environmental Uses; Human Food; Invertebrate Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Melittis melissophyllum,L.,450128-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mentha aquatica,L.,450192-1,Environmental Uses; Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Mentha arvensis,L.,30026217-2,Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Malaria and Fever in Latin America dataset
Mentha australis,R.Br.,450215-1,Human Food; Medicines; Poisons; Social Uses,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Mentha canadensis,L.,450311-1,Gene Sources; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Mentha cunninghamii,(Benth.) Benth.,450390-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mentha dahurica,Fisch. ex Benth.,450396-1,Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Mentha diemenica,Spreng.,450417-1,Human Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Mentha japonica,(Miq.) Makino,450645-1,Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Mentha longifolia,(L.) L.,450735-1,Environmental Uses; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons,False,
Mentha pulegium,L.,451022-1,Environmental Uses; Human Food; Invertebrate Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Mentha requienii,Benth.,451048-1,Environmental Uses; Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN)
Mentha spicata,L.,451162-1,Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Mentha suaveolens,Ehrh.,451188-1,Environmental Uses; Gene Sources; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Mesosphaerum pectinatum,(L.) Kuntze,158242-2,Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,Medicinal Plant Names Services (MPNS)
Mesosphaerum suaveolens,(L.) Kuntze,158297-2,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Micromeria biflora,(Buch.-Ham. ex D.Don) Benth.,451719-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Micromeria douglasii,Benth.,160336-2,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Micromeria imbricata,(Forssk.) C.Chr.,451796-1,Human Food; Invertebrate Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Micromeria maderensis,Puppo & Bräuchler,77150384-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Micromeria myrtifolia,Boiss. & Hohen.,451831-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Micromeria nervosa,(Desf.) Benth.,451833-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Micromeria unguentaria,Schweinf.,451918-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Microtoena insuavis,(Hance) Prain ex Briq.,451942-1,Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Microtoena omeiensis,C.Y.Wu & S.J.Hsuan,451949-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Minthostachys mollis,(Benth.) Griseb.,451957-1,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Minthostachys verticillata,(Griseb.) Epling,1203793-2,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Moluccella aucheri,(Boiss.) Scheen,77087135-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Moluccella laevis,L.,451989-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Monarda bradburiana,Beck,452019-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Monarda citriodora,Cerv. ex Lag.,452023-1,Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Monarda clinopodia,L.,452024-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Monarda didyma,L.,452034-1,Environmental Uses; Invertebrate Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Monarda fistulosa,L.,452042-1,Environmental Uses; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Monarda pectinata,Nutt.,452068-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Monarda punctata,L.,452072-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Monardella breweri,A.Gray,452099-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Monardella odoratissima,Benth.,163391-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Monardella sheltonii,Torr. ex Durand,163422-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Monardella villosa,Benth.,452158-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mosla cavaleriei,H.Lév.,452190-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mosla chinensis,Maxim.,452191-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Mosla dianthera,(Buch.-Ham. ex Roxb.) Maxim.,452193-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mosla japonica,(Benth. ex Oliv.) Maxim.,452202-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Mosla scabra,(Thunb.) C.Y.Wu & H.W.Li,452218-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta annua,Pall.,452262-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta azurea,R.Br. ex Benth.,452278-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta cataria,L.,452333-1,Environmental Uses; Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Nepeta ciliaris,Benth.,452340-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Nepeta connata,Royle ex Benth.,452356-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta curviflora,Boiss.,452367-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta deflersiana,Schweinf. ex Hedge,900351-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta discolor,Royle ex Benth.,452384-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta elliptica,Royle ex Benth.,452394-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta floccosa,Benth.,452417-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta glomerulosa,Boiss.,452436-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta glutinosa,Benth.,452437-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta hemsleyana,Oliv. ex Prain,452459-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta hindostana,(B.Heyne ex Roth) Haines,452462-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Nepeta ispahanica,Boiss.,452489-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Nepeta juncea,Benth.,452496-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta laevigata,(D.Don) Hand.-Mazz.,452514-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta longibracteata,Benth.,452544-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta multifida,L.,452600-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta nuda,L.,452615-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta podostachys,Benth.,452662-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta racemosa,Lam.,452683-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta raphanorhiza,Benth.,452684-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta sibirica,L.,452734-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Nepeta tenuifolia,Benth.,452775-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ocimum americanum,L.,316218-2,Animal Food; Environmental Uses; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,
Ocimum angustifolium,Benth.,452860-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ocimum basilicum,L.,452874-1,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,
Ocimum burchellianum,Benth.,452882-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Ocimum campechianum,Mill.,452886-1,Medicines,False,Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Ocimum carnosum,(Spreng.) Link & Otto ex Benth.,452893-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ocimum filamentosum,Forssk.,452942-1,Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Ocimum forskaolii,Benth.,452956-1,Human Food,False,
Ocimum grandiflorum,Lam.,452967-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Ocimum gratissimum,L.,452969-1,Animal Food; Environmental Uses; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,
Ocimum kilimandscharicum,Gürke,453005-1,Invertebrate Food; Materials; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plant Project (UPP)
Ocimum lamiifolium,Hochst. ex Benth.,453009-1,Invertebrate Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plant Project (UPP)
Ocimum minimum,L.,453031-1,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Ocimum obovatum,E.Mey. ex Benth.,453049-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Ocimum tenuiflorum,L.,453130-1,Human Food; Materials; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Malaria and Fever in Latin America dataset
Oocephalus hagei,(Harley) Harley & J.F.B.Pastore,77121116-1,Materials,False,
Origanum acutidens,(Hand.-Mazz.) Ietsw.,453185-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Origanum compactum,Benth.,453227-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Origanum dayi,Post,453235-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Origanum dictamnus,L.,453239-1,Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Medicinal Plant Names Services (MPNS)
Origanum elongatum,(Bonnet) Emb. & Maire,453247-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Origanum majorana,L.,453303-1,Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Malaria and Fever in Latin America dataset
Origanum microphyllum,(Benth.) Vogel,77177103-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Origanum minutiflorum,O.Schwarz & P.H.Davis,453319-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Origanum onites,L.,453331-1,Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Origanum sipyleum,L.,453365-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Origanum syriacum,L.,453375-1,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
