scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
spirospermum penduliflorum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Madagascar,Eastern Africa
strychnopsis thouarsii,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,W,,,,,,,,Materials; Medicines,False,Madagascar,Eastern Africa
berberis aristata,tropical (min temp coldest month less than 18°C) (9) | subtropical (9),wet (9) | moist (9) | dry sub-humid (9),,,,,,,shrub,,,,,,woody,,,,,,,,Materials; Medicines,False,Bhutan|China|India|Nepal,Southern Asia|Eastern Asia
berberis beauverdiana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,,,,,,,,,,,Peru,South America
berberis chochoco,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,,,,,,,,,,,,,,,Materials,False,Mexico,Central America
berberis dryandriphylla,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,Shrub,,,,,,,,,,,,,,,,Peru,South America
berberis gracilis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,Tree,,,,,,woody,,,,,,,,,,Mexico,Central America
berberis hartwegii,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Tree,,,,,,woody,,,,,,,,,,Mexico,Central America
berberis hemsleyi,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),wet (9) | moist (9),,,,,,,Shrub,,,,,,,,,,,,,,,,Costa Rica|Guatemala|Honduras|Mexico,Central America
berberis henryi,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
