scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
cheiloclinium obtusum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Liana,,,,,,,,,,,,,,,,Brazil|Guyana|Peru|Venezuela (Bolivarian Republic of),South America
crossopetalum densiflorum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,,,Mexico,Central America
crossopetalum enervium,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Small_Tree,,,,,,,,,,,,,,,,Costa Rica|Panama,Central America
crossopetalum gaumeri,,,,,,,,,Shrub,,,,,,,,,,,,,,,,Belize|Guatemala|Mexico,Central America
crossopetalum glabrum,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
crossopetalum managuatillo,,,,,,,,,woody,,,,,,woody,,,,,,,,,,Mexico,Central America
crossopetalum minimiflorum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,,,Mexico,Central America
crossopetalum oxyphyllum,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
crossopetalum parviflorum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,woody,,,,,,,,,,Belize|Costa Rica|El Salvador|Guatemala|Mexico|Nicaragua|Panama,Central America
crossopetalum rhacoma,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,W,,,,,,,,,,"Anguilla|Antigua and Barbuda|Aruba|Bahamas|Belize|Bonaire, Sint Eustatius and Saba|British Virgin Islands|Cayman Islands|Cuba|Curaçao|Dominican Republic|Guadeloupe|Haiti|Jamaica|Martinique|Mexico|Montserrat|Puerto Rico|Saint Barthélemy|Saint Kitts and Nevis|Saint Lucia|United States Virgin Islands|United States of America|Venezuela (Bolivarian Republic of)",Caribbean|Central America|Northern America|South America
cuervea integrifolia,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
denhamia bilocularis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
denhamia celastroides,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,tree,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
denhamia disperma,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
denhamia fasciculiflora,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
denhamia fournieri,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
denhamia moorei,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
denhamia obscura,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,woody,,,,,,,,Materials,False,Australia,Australia and New Zealand
denhamia oleaster,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,tree/woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
denhamia pittosporoides,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,Materials,False,Australia,Australia and New Zealand
denhamia silvestris,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9),,,,,,,,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
denhamia viridissima,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
dicarpellum baillonianum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
dicarpellum pancheri,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
dicarpellum paucisepalum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
dicarpellum pronyense,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,New Caledonia,Melanesia
dinghoua globularis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
elachyptera floribunda,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Liana,,,,,,W,,,,,,,,,,Belize|Brazil|Colombia|Costa Rica|French Guiana|Guatemala|Guyana|Honduras|Jamaica|Panama|Suriname|Venezuela (Bolivarian Republic of),Central America|South America|Caribbean
elaeodendron aquifolium,,,,,,,,,,,,,,,,,,,,,,,,,Kenya|Somalia,Eastern Africa
elaeodendron croceum,,,,,,,,,woody,,,,,,woody,,,,,,,,Environmental Uses; Materials; Medicines; Poisons,False,Mozambique|South Africa,Eastern Africa|Southern Africa
elaeodendron cunninghamii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
elaeodendron curtipendulum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,W,,,,,,,,,,Australia|New Caledonia|Norfolk Island,Australia and New Zealand|Melanesia
elaeodendron fruticosum,,,,,,,,,shrub,,,,,,woody,,,,,,,,,,Mozambique,Eastern Africa
elaeodendron glaucum,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,tree/woody,,,,,,W,,,,,,,,Materials; Medicines; Poisons,False,Sri Lanka,Southern Asia
elaeodendron kamerunense,,,,,,,,,,,,,,,,,,,,,,,,,Cameroon|Democratic Republic of the Congo|Ethiopia,Middle Africa|Eastern Africa
elaeodendron matabelicum,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,tree,,,,,,woody,,,,,,,,Gene Sources; Human Food; Materials; Medicines,False,Angola|Botswana|Malawi|Mozambique|Zambia|Zimbabwe,Middle Africa|Southern Africa|Eastern Africa
elaeodendron nipense,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
elaeodendron paniculatum,,,,,,,,,woody,,,,,,woody,,,,,,,,,,India|Sri Lanka,Southern Asia
elaeodendron pininsulare,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
elaeodendron schlechterianum,,,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,,Medicines,False,Kenya|Malawi|Mozambique|United Republic of Tanzania|Zambia|Zimbabwe,Eastern Africa
elaeodendron schweinfurthianum,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,Gene Sources; Human Food; Materials; Medicines,False,Kenya|Somalia|United Republic of Tanzania,Eastern Africa
elaeodendron viburnifolium,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam|India|Indonesia|Malaysia|Philippines|Singapore|Thailand,South-eastern Asia|Southern Asia
elaeodendron vitiense,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,W,,,,,,,,,,Fiji,Melanesia
elaeodendron xylocarpum,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Anguilla|Antigua and Barbuda|Bahamas|Belize|Bermuda|British Virgin Islands|Costa Rica|Cuba|Dominican Republic|El Salvador|Guatemala|Haiti|Honduras|Mexico|Montserrat|Nicaragua|Panama|Puerto Rico|Saint Kitts and Nevis|Saint Lucia|Saint Vincent and the Grenadines|Trinidad and Tobago|Turks and Caicos Islands|United States Virgin Islands|Venezuela (Bolivarian Republic of),Caribbean|Central America|Northern America|South America
euonymus acanthocarpus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (2) | moist (3),,,,,,,woody,,,,,,woody,,,,,,,,,,China|Myanmar,Eastern Asia|South-eastern Asia
euonymus acuminifolius,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
euonymus atropurpureus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (9),,,,,,,shrub,,,,perennial,,woody,,,,,,,,Environmental Uses; Materials; Medicines; Poisons,False,Canada|United States of America,Northern America
euonymus attenuatus,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh|Bhutan|India|Myanmar,Southern Asia|South-eastern Asia
euonymus australianus,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
euonymus barberi,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
euonymus benthamii,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,,,,,,,,,,,El Salvador|Guatemala|Honduras|Mexico,Central America
euonymus bockii,tropical (min temp coldest month less than 18°C) (9),wet (9),,,,,,,,,,,,,,,,,,,,,,,China|India|Viet Nam,Eastern Asia|Southern Asia|South-eastern Asia
euonymus bullatus,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Bangladesh|China|India|Myanmar|Thailand,Southern Asia|Eastern Asia|South-eastern Asia
euonymus carnosus,tropical (min temp coldest month less than 18°C) (9),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,"China|Japan|Taiwan, Province of China",Eastern Asia
euonymus castaneifolius,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam|Indonesia|Malaysia,South-eastern Asia
euonymus chiapensis,,,,,,,,,Shrub,,,,,,,,,,,,,,,,Mexico,Central America
euonymus cochinchinensis,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,,,,,,,,,,,,,,,,,"China|Indonesia|Malaysia|Papua New Guinea|Philippines|Taiwan, Province of China|Thailand|Viet Nam",Eastern Asia|South-eastern Asia|Melanesia
euonymus corymbosus,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
euonymus costaricensis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Costa Rica|Nicaragua,Central America
euonymus crenulatus,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Materials,False,India,Southern Asia
euonymus dichotomus,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,Materials,False,India|Sri Lanka,Southern Asia
euonymus dielsianus,tropical (min temp coldest month less than 18°C) (9),wet (2) | moist (3),,,,,,,no,,,,no,,,,,,,,,,,,China,Eastern Asia
euonymus eberhardtii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Lao People's Democratic Republic|Viet Nam,South-eastern Asia
euonymus echinatus,tropical (min temp coldest month less than 18°C) (9),wet (9),,,,,,,climber/woody,,,,,,W,,,,,,,,,,"Bhutan|China|India|Japan|Myanmar|Nepal|Pakistan|Taiwan, Province of China|Thailand",Southern Asia|Eastern Asia|South-eastern Asia
euonymus elaeodendroides,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
euonymus enantiophyllus,,,,,,,,,,,,,,,,,,,,,,,,,El Salvador|Guatemala|Mexico,Central America
euonymus europaeus,subtropical (1),wet (2) | moist (3),,,,,,,tree / shrub,,2,,perennial,,w,,,,partial,,epigeal,diffuse-porous,Environmental Uses; Materials; Medicines; Poisons,False,Albania|Armenia|Austria|Azerbaijan|Belarus|Belgium|Bosnia and Herzegovina|Bulgaria|Croatia|Czechia|Denmark|Estonia|France|Georgia|Germany|Greece|Hungary|Iran (Islamic Republic of)|Ireland|Italy|Latvia|Lithuania|Montenegro|Netherlands (Kingdom of the)|North Macedonia|Norway|Poland|Portugal|Republic of Moldova|Romania|Russian Federation|Slovakia|Slovenia|Spain|Sweden|Switzerland|Turkmenistan|Türkiye|Ukraine|United Kingdom of Great Britain and Northern Ireland,Southern Europe|Western Asia|Western Europe|Eastern Europe|Northern Europe|Southern Asia|Central Asia
euonymus ficoides,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus frigidus,subtropical (9),wet (9) | moist (9),,,,,,,woody,,,,,,woody,,,,,,,,,,Bhutan|China|India|Myanmar|Nepal,Southern Asia|Eastern Asia|South-eastern Asia
euonymus fusiformis,,,,,,,,,,,,,,,,,,,,,,,,,Myanmar,South-eastern Asia
euonymus gibber,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,"China|Taiwan, Province of China",Eastern Asia
euonymus giraldii,subtropical (9),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus glaber,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Bangladesh|Cambodia|China|India|Malaysia|Myanmar|Thailand|Viet Nam,Southern Asia|South-eastern Asia|Eastern Asia
euonymus glandulosus,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Malaysia|Philippines,South-eastern Asia
euonymus gracillimus,,,,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus grandiflorus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (9),,,,,,,T,,,,,,woody,,,,,,,,Materials,False,China|Myanmar|Nepal,Eastern Asia|South-eastern Asia|Southern Asia
euonymus hainanensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus hamiltonianus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (9),,,,,,,tree,,,,,,W,,,,,,,,Materials; Medicines,False,Afghanistan|Bhutan|China|Democratic People's Republic of Korea|India|Japan|Myanmar|Nepal|Pakistan|Republic of Korea|Russian Federation|Thailand,Southern Asia|Eastern Asia|South-eastern Asia|Eastern Europe
euonymus huae,,,,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus hukuangensis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus impressus,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
euonymus indicus,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,Materials; Medicines,False,Bangladesh|Cambodia|India|Indonesia|Lao People's Democratic Republic|Malaysia|Myanmar|Philippines|Thailand|Timor-Leste|Viet Nam,Southern Asia|South-eastern Asia
euonymus japonicus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (9),,,,,,,Shrub/Tree intermediate,,,FALSE,,,W,,,,,,,diffuse,Environmental Uses; Medicines,False,Democratic People's Republic of Korea|Japan|Republic of Korea,Eastern Asia
euonymus kengmaensis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus latifolius,subtropical (2) | temperate (3),wet (9),,,,,,,shrub,,,FALSE,perennial,,woody,,,,,,,,,,Albania|Algeria|Armenia|Austria|Azerbaijan|Bosnia and Herzegovina|Bulgaria|Croatia|France|Georgia|Germany|Greece|Iran (Islamic Republic of)|Italy|Montenegro|Morocco|North Macedonia|Romania|Russian Federation|Slovenia|Spain|Switzerland|Türkiye|Ukraine,Southern Europe|Northern Africa|Western Asia|Western Europe|Eastern Europe|Southern Asia
euonymus laxiflorus,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines; Poisons,False,"Cambodia|China|India|Myanmar|Taiwan, Province of China|Viet Nam",South-eastern Asia|Eastern Asia|Southern Asia
euonymus lucidus,tropical (min temp coldest month less than 18°C) (9),wet (9) | moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,Materials; Medicines,False,Bhutan|China|India|Myanmar|Nepal|Pakistan,Southern Asia|Eastern Asia|South-eastern Asia
euonymus lutchuensis,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Japan,Eastern Asia
euonymus maackii,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (9) | dry sub-humid (9),,,,,,,no,,,FALSE,no,,woody,,,,,,,,Materials,False,China|Japan|Republic of Korea|Russian Federation,Eastern Asia|Eastern Europe
euonymus mexicanus,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9),,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
euonymus microcarpus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus moluccensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
euonymus myrianthus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (2) | moist (3),,,,,,,shrub,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus nitidus,tropical (min temp coldest month less than 18°C) (9),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,"Bangladesh|Cambodia|China|China, Hong Kong Special Administrative Region|Japan|Viet Nam",Southern Asia|South-eastern Asia|Eastern Asia
euonymus occidentalis,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (9) | moist (9),,,,,,,Tree,,,,,,W,,,,,,,,,,Canada|United States of America,Northern America
euonymus oxyphyllus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),very wet (2) | wet (3),,,,,,,Tree shrub intermediate,,,FALSE,,,woody,,,,,,,,Materials,False,"China|Democratic People's Republic of Korea|Japan|Republic of Korea|Taiwan, Province of China",Eastern Asia
euonymus parasimilis,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus percoriaceus,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus pittosporoides,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,China|Viet Nam,Eastern Asia|South-eastern Asia
euonymus pleurostylioides,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
euonymus potingensis,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus rehderianus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus sanguineus,subtropical (9),moist (9) | dry sub-humid (9),,,,,,,Tree shrub intermediate,,,FALSE,,,W,,,,,,,,,,China,Eastern Asia
euonymus tibeticus,subtropical (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,China|India,Eastern Asia|Southern Asia
euonymus tingens,subtropical (9),wet (9) | moist (9),,,,,,,woody,,,,,,W,,,,,,,,Materials; Medicines,False,Bhutan|China|India|Myanmar|Nepal,Southern Asia|Eastern Asia|South-eastern Asia
euonymus tsoi,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus vagans,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (9),,,,,,,Climber,,,,perennial,,woody,,,,,,,,,,Bangladesh|Bhutan|China|India|Myanmar|Nepal,Southern Asia|Eastern Asia|South-eastern Asia
euonymus venosus,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus verrucocarpus,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus viburnoides,tropical (min temp coldest month less than 18°C) (9),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Bhutan|China|India|Myanmar,Southern Asia|Eastern Asia|South-eastern Asia
euonymus walkeri,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Sri Lanka,Southern Asia
euonymus wrayi,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
euonymus wui,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
euonymus yunnanensis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (2) | dry sub-humid (3),,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
evonymopsis humbertii,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
fraunhofera multiflora,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
glyptopetalum acuminatissimum,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
glyptopetalum calocarpum,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,India|Myanmar,Southern Asia|South-eastern Asia
glyptopetalum calyptratum,,,,,,,,,,,,,,,,,,,,,,,,,Viet Nam,South-eastern Asia
glyptopetalum euonymoides,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia|Philippines,South-eastern Asia
glyptopetalum euphlebium,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
glyptopetalum fengii,,,,,,,,,,,,,,,,,,,,,,,,,China,Eastern Asia
glyptopetalum gracilipes,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,,,,,,,,,,,Malaysia|Viet Nam,South-eastern Asia
glyptopetalum lawsonii,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,India,Southern Asia
glyptopetalum loheri,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Philippines,South-eastern Asia
glyptopetalum longepedunculatum,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,China|Viet Nam,Eastern Asia|South-eastern Asia
glyptopetalum longipedicellatum,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
glyptopetalum marivelense,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
glyptopetalum palawanense,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia|Philippines,South-eastern Asia
glyptopetalum poilanei,,,,,,,,,,,,,,,,,,,,,,,,,Viet Nam,South-eastern Asia
glyptopetalum quadrangulare,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,,,,,,,,,Medicines,False,Cambodia|Indonesia|Malaysia|Myanmar|Thailand|Viet Nam,South-eastern Asia
glyptopetalum sclerocarpum,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Cambodia|China|Lao People's Democratic Republic|Myanmar|Thailand|Viet Nam,South-eastern Asia|Eastern Asia
glyptopetalum zeylanicum,,,,,,,,,,,,,,,,,,,,,,,,,India|Sri Lanka,Southern Asia
goniodiscus elaeospermus,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,,,Brazil,South America
gyminda fimbrillata,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
gyminda latifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,tree,,,,,,woody,,,,,,,,,,"Anguilla|Antigua and Barbuda|Bahamas|Barbados|Bonaire, Sint Eustatius and Saba|British Virgin Islands|Cayman Islands|Cuba|Dominican Republic|Guadeloupe|Haiti|Jamaica|Martinique|Mexico|Montserrat|Puerto Rico|Saint Lucia|Saint Martin (French Part)|Saint Vincent and the Grenadines|Trinidad and Tobago|Turks and Caicos Islands|United States Virgin Islands|United States of America",Caribbean|Central America|Northern America
gyminda orbicularis,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
gyminda tonduzii,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,,,Belize|Costa Rica|El Salvador|Guatemala|Honduras|Mexico|Nicaragua|Panama,Central America
gymnosporia addat,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Ethiopia,Eastern Africa
gymnosporia arbutifolia,tropical (min temp coldest month less than 18°C) (9),moist (9) | dry sub-humid (9),,,,,,,,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines,False,Burundi|Democratic Republic of the Congo|Djibouti|Eritrea|Ethiopia|Kenya|Rwanda|Saudi Arabia|Somalia|Uganda|United Republic of Tanzania|Yemen,Eastern Africa|Middle Africa|Western Asia
gymnosporia arenicola,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Mozambique|South Africa,Eastern Africa|Southern Africa
gymnosporia bachmannii,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,South Africa,Southern Africa
gymnosporia bailadillana,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
gymnosporia buchananii,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,,,,,,,,,Environmental Uses; Medicines,False,Angola|Benin|Burundi|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Ethiopia|Gabon|Kenya|Malawi|Mozambique|Nigeria|Rwanda|South Sudan|Uganda|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Western Africa|Eastern Africa
gymnosporia buxifolia,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,yes,,,,,yes,,,,no,,W,,,,,,,,Animal Food; Environmental Uses; Materials; Medicines; Social Uses,False,Angola|Botswana|Eswatini|Lesotho|Mozambique|Namibia|South Africa|Zimbabwe,Middle Africa|Southern Africa|Eastern Africa
