SpeciesName,Flower color,Flower sex,Flowering lag time: number of days from exposition start to flowering,Flowering requirement (requirement for fertility),Fruit type,Plant flowering,Plant growth form,Plant growth temperature range,Plant height,Plant human usage types,Plant lifespan (longevity),Plant lifespan: age trees reach in forested stands,Plant woodiness,Seed germination base temperature,Seed germination base water potential,Seed germination lag time,Seed germination requirement,Seed germination temperature,Seed germination type,Wood growth ring distinction
#Acacia baileyana F.Muell.,,,,,dry,,,,,,,,,,,,,,,
#Acacia dealbata Link,,,,,dry,,,,,,,,,,,,,,,
#Acacia decurrens Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia elata A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia iteaphylla F.Muell. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia longifolia (Andrews) Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia mearnsii De Wild.,,,,,dry,,,,,,,,,,,,,,,
#Acacia podalyriifolia A.Cunn. ex G.Don,,,,,dry,,,,,,,,,,,,,,,
#Acacia pycnantha Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia saligna (Labill.) H.L.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Acacia spectabilis A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Hakea sericea Schrad. & J.C.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Senna barclayana (Sweet) Randell,,,,,dry,,,,,,,,,,,,,,,
Norantea adamantium,,,,,,,climber,,,,,,W,,,,,,,
Norantea anomala,,,,,,,Epiphyte/Shrub,,,,,,,,,,,,,
Norantea aurantiaca,,,,,,,Climber,,,,,,,,,,,,,
Norantea brasiliensis,,,,,,,Vine,,,,,,,,,,,,,
Norantea brenesii,,,,,,,Hemiepiphyte,,,,,,,,,,,,,
Norantea costaricensis,,,,,,,Hemiepiphyte,,,,,,W,,,,,,,
Norantea diaz,,,,,,,,,,,,,W,,,,,,,
Norantea diaz-piedrahitae,,,,,,,climber,,,,,,W,,,,,,,
Norantea goyasensis,,,,,,,Liana,,,,,,W,,,,,,,
Norantea guianensis,,,,,,,Climber,,,,,,woody,,,,,,,
Norantea guianensis Aubl.,,,,,,,Yes,,,,,,,,,,,,,
Norantea jimenezii,,,,,,,Epiphyte/Shrub,,,,,,,,,,,,,
Norantea mixta,,,,,,,climber,,,,,,W,,,,,,,
Norantea mixtum,,,,,,,Climber,,,,,,,,,,,,,
Norantea peduncularis,,,,,,,,,,,,,W,,,,,,,
Norantea rosulata,,,,,,,Epiphyte,,,,,,,,,,,,,
Norantea sessiliflora,,,,,,,Hemiepiphyte,,,,,,,,,,,,,
Norantea sessilis,,,,,,,Hemiepiphyte,,,,,,,,,,,,,
Norantea spiciflora,,,,,,,climber,,,,,,W,,,,,,,
Norantea subsessilis,,,,,,,Hemiepiphyte,,,,,,W,,,,,,,
Norantea tepuiensis,,,,,,,climber,,,,,,W,,,,,,,
Nordenstamia huanucona,,,,,,,Free-standing,,,,,,,,,,,,,
Norlindhia amplectens,,,,,,,Free-standing,,,,,,,,,,,,,
Norlindhia aptera,,,,,,,Free-standing,,,,,,,,,,,,,
Norlindhia breviradiata,,,,,,,Free-standing,,,,,,,,,,,,,
Normanbya,,,,,,,P,,,,,,,,,,,,,
Normanbya normanbyi,,,,,,,tree/palmoid/woody,,,,,,W,,,,,,,
Normanbya normanbyi (W.Hill) L.H.Bailey,,,,,,,P,,,,,,,,,,,,,
Normanbya_normanbyi,,,,,,,self,,,,,,,,,,,,,
Normandina pulchella,,,,,,,Lichenous,,,,,,,,,,,,,
Normandiodendron romii,,,,,,,Tree,,,,,,,,,,,,,
Noronhia NA,,,,,,,"Shrub,Tree",,,,,,,,,,,,,
Noronhia alleizettei,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia ambrensis,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia boinensis,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia boivinii,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia brevituba,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia buxifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia candicans,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia capuronii,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia comorensis,,,,,,,woody,,,,,,woody,,,,,,,
Noronhia cordifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia crassinodis,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia crassiramosa,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia decaryana,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia densiflora,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia divaricata,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia emarginata,,,,,,,Tree,,,,,,W,,,,,,,
Noronhia emarginata (Lam.) Poir.,,,,,,,,,,,,,W,,,,,,,
Noronhia gracilipes,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia grandifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia humbertiana,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia incurvifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia introversa,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia jeremii,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia lanceolata,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia leandriana,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia linearifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia linocerioides,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia longipedicellata,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia louvelii,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia luteola,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia mangorensis,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia myrtoides,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia oblanceolata,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia obtusifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia ovalifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia peracuminata,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia pervilleana,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia populifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia sambiranensis,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia seyrigii,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia tetrandra,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia tropophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia tubulosa,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia urceolata,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia verrucosa,,,,,,,Free-standing,,,,,,,,,,,,,
Noronhia verticillata,,,,,,,Free-standing,,,,,,,,,,,,,
Norrisia maior,,,,,,,tree,,,,,,woody,,,,,,,
Norrisia major,,,,,,,tree,,,,,,woody,,,,,,,
Norrisia malaccensis,,,,,,,woody,,,,,,W,,,,,,,
Norta altissima,,,,,,,Forb/herb,,,,,,,,,,,,,
Norta irio,,,,,,,Forb/herb,,,,,,,,,,,,,
Northea hornei,,,,,,,,,,,,,W,,,,,,,
Northea seychellana,,,,,,,,,,,,,W,,,,,,,
Northia hornei,,,,,,,tree,,,,,,W,,,,,,,
Northia seychellana,,,,,,,tree,,,,,,W,,,,,,,
Northia sp,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Norysca aurea,,,,,,,Shrub,,,,,,,,,,,,,
Notanthera heterophylla,,,,,,,Liana,,,,,,,,,,,,,
Notanthera heterophylla (Ruiz & Pav.) G. Don,,hermaphrodite,,,,,shrub,,,,perennial,,,,,,,,,
Notanthera heterophyllus,,,,,,,Parasite,,,,,,,,,,,,,
Notaphoebe omeiensis,,,,,,,Free-standing,,,,,,,,,,,,,
Notechidnopsis tessellata,,,,,,,Free-standing,,,,,,,,,,,,,
Notelaea badula,,,,,,,,,,,,,W,,,,,,,
Notelaea johnsonii,,,,,,,Tree,,,,,,woody,,,,,,,
Notelaea ligustrina,,,,,,,shrub/tree,,,,,,W,,,,,,,
Notelaea linearis,,,,,,,shrub,,,,,,W,,,,,,,
Notelaea longifolia,,,,,,,tree,,,,,,woody,,,,,,,
Notelaea longifolia Vent.,,,,,,,,,,,,,Woody,,,,,,,
Notelaea longifolia forma longifolia,,,,,,,,,,,>30,,,,,,,,,
Notelaea microcarpa,,,,,,,Tree,,,,,,woody,,,,,,,
Notelaea neglecta,,,,,,,Free-standing,,,,,,,,,,,,,
Notelaea ovata,,,,,,,tree,,,,,,W,,,,,,,
Notelaea sp,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Notelaea venosa,,,,,,,Tree,,,,,,woody,,,,,,,
Notelaea_longifolia,,,,,,,self,,,,,,,,,,,,,
Nothaphoebe boninensis,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe cavaleriei,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe crassifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe elata,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe fargesii,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe foetida,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe gigaphylla,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe helophila,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe konishii,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe leytensis,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe macrocarpa,,,,,,,woody,,,,,,W,,,,,,,
Nothaphoebe magnifica,,,,,,,Free-standing,,,,,,,,,,,,,
Nothaphoebe malabonga,,,,,,,woody,,,,,,W,,,,,,,
Nothaphoebe panduriformis,,,,,,,woody,,,,,,W,,,,,,,
Nothaphoebe pyriformis,,,,,,,,,,,,,W,,,,,,,
Nothaphoebe sp,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Nothaphoebe umbelliflora,,,,,,,woody,,,,,,W,,,,,,,
Nothapodytes collina,,,,,,,Free-standing,,,,,,,,,,,,,
Nothapodytes foetida,,,,,,,,,,,,,W,,,,,,,
Nothapodytes nimmoniana,,,,,,,Free-standing,,,,,,,,,,,,,
Nothapodytes obscura,,,,,,,Free-standing,,,,,,,,,,,,,
Nothapodytes obtusifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Nothapodytes pittosporoides,,,,,,,Free-standing,,,,,,,,,,,,,
Notheria diaphana,,,,,,,Epiphyte,,,,,,,,,,,,,
Nothites satureiaefolia,,,,,,,Herb,,,,,,,,,,,,,
Nothoalsomitra suberosa,,,,,,,,,,,,,H,,,,,,,
Nothobaccaurea stylaris,,,,,,,Free-standing,,,,,,,,,,,,,
Nothobaccharis candolleana,,,,,,,Free-standing,,,,,,,,,,,,,
Nothobartsia aspera,,,,,,,Parasite,,,,,,,,,,,,,
Nothobartsia aspera (Brot.) Bolliger & Molau,,hermaphrodite,,,,,herb,,,,,,,,,,,,,
Nothobartsia spicata,,,,,,,Parasite,,,,,,,,,,,,,
Nothocalais NA,,,,,,,Forb/herb,,,,,,,,,,,,,
Nothocalais alpestris,,,,,,,Herb,,,,,,,,,,,,,
Nothocalais nigrescens,,,,,,,Herb,,,,,,,,,,,,,
Nothocalais troximoides,,,,,,,Herb,,,,perennial,,non-woody,,,,,,,
Nothocestrum NA,,,,,,,"Shrub,Tree",,,,,,,,,,,,,
Nothocestrum breviflorum,,,,,,,Tree,,,,,,W,,,,,,,
Nothocestrum brevifolia,,,,,,,tree,,,,,,woody,,,,,,,
Nothocestrum brevifolium,,,,,,,Tree,,,,,,,,,,,,,
Nothocestrum inconcinnum,,,,,,,Tree,,,,,,,,,,,,,
Nothocestrum latifolium,,,,,,,Tree,,,,,,,,,,,,,
Nothocestrum longifolium,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Nothocestrum peltatum,,,,,,,Tree,,,,,,,,,,,,,
Nothocestrum subcordatum,,,,,,,Tree,,,,,,,,,,,,,
Nothochelone NA,,,,,,,Subshrub,,,,,,,,,,,,,
Nothochelone nemorosa,,,,,,,Shrub,,,,perennial,,non-woody,,,,,,,
Nothochilus coccineus,,,,,,,Parasite,,,,,,,,,,,,,
Nothochilus coccineus Radlk.,,hermaphrodite,,,,,herb,,,,,,,,,,,,,
Nothochlaena fraseri,,,,,,,,,,,,,H,,,,,,,
Nothochlaena nivea,,,,,,,,,,,,,H,,,,,,,
Nothochlaena sulphurea,,,,,,,,,,,,,H,,,,,,,
Nothocissus penninervis,,,,,,,climber,,,,,,woody,,,,,,,
Nothocissus spicifera,,,,,,,Shrub,,,,,,woody,,,,,,,
Nothocissus sterculiifolia,,,,,,,climber,,,,,,woody,,,,,,,
Nothocnide repanda,,,,,,,Climber,,,,,,,,,,,,,
Nothocnide repanda (Blume) Blume,,,,,dry,,,,,,,,,,,,,,,
Nothodoritis zhejiangensis,,,,,,,Herb (H),,,,,,H,,,,,,,
Nothofagus,,,,,,,ST,,,,400.0,,,,,,,,,
Nothofagus aequilateralis,,,,,,,T,,,,,,W,,,,,,,
Nothofagus aequliatris,,,,,,,Free-standing,,,,,,W,,,,,,,
Nothofagus alessandri,,,,,,,tree,,,,,,woody,,,,,,,
Nothofagus alessandrii,,,,,,,Tree,,,,,,W,,,,,,,
Nothofagus alpina,,,,,,,tree,,,,535.0,,W,,,,,,,
Nothofagus antarctica,,,,,,,tree,,,False,180.0,,woody,,,,,,,diffuse
Nothofagus antarctica (G.Forst.) Oerst.,,,,,,,f P,,,,5.0,,,,,,,,,1
Nothofagus balansae,,,,,,,T,,,,,,W,,,,,,,
Nothofagus baumanniae,,,,,,,Free-standing,,,,,,W,,,,,,,
Nothofagus betuloides,,,,,,,Tree,,,,609.0,,woody,,,,,,,
Nothofagus brassi,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus brassii,,,,,,,,,,,,,W,,,,,,,
Nothofagus carii,,,,,,,,,,,,,woody,,,,,,,
Nothofagus carri,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus carrii,,,,,,,Tree,,,,,,woody,,,,,,,
Nothofagus cliffortioides,,,,,,,Tree,,,,,,W,,,,,,,
Nothofagus codonandra,,,,,,,T,,,,,,W,,,,,,,
Nothofagus cunninghami,,,,,,,woody,,,,,,woody,,,,,,,
Nothofagus cunninghamii,,,,,,,Tree,,,,Perennial,,woody,,,,,,,semi-ring-porous
Nothofagus cunninghamii  (Hook.) Oerst.,,,,,,,T,,,,,,,,,,,,,
Nothofagus cunninghamii (Hook.) Oerst.,,,,,,,,,,,,,Woody,,,,,,,
Nothofagus discoidea,,,,,,,T,,,,,,W,,,,,,,
Nothofagus dombeyi,,,,,,,Tree,,,,400.0,,woody,,,,6.5,,,diffuse
Nothofagus fusca,,,,,,,tree,,,,perennial,,woody,,,,,,,
Nothofagus glauca,,,,,,,tree,,,,,,W,,,,,,,
Nothofagus grandis,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus gunnii,,,,,,,Shrub/Tree intermediate,,,,,,W,,,,,,,diffuse
Nothofagus leoni,,,,,,,woody,,,,,,woody,,,,,,,
Nothofagus leonii,,,,,,,tree,,,,,,,,,,,,,
Nothofagus macrocarpa,,,,,,,tree,,,,150.0,,,,,,,,,
Nothofagus menzeisii,,,,,,,tree,,,,,,,,,,,,,
Nothofagus menziesii,,,,,,,tree,,,,346.0,,woody,,,,,,,
Nothofagus moorei,,,,,,,tree,,,,Perennial,,W,,,,,,,
Nothofagus moorei  (F.Muell.) Krasser,,,,,,,T,,,,,,,,,,,,,
Nothofagus nervosa,,,,,,,Tree (deciduous),,,,,,W,,,,,,,
Nothofagus nitida,,,,,,,Tree,,,,400.0,,W,,,,6.5,,,
Nothofagus obliqua,,,,,,,Tree,,,,461.0,,woody,,,,,,,
Nothofagus perryi,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus procera,,,,,,,woody,,,,,,woody,,,,,,,
Nothofagus procera Oerst.,,,,,,,,,,,,,,,,,,,,Diffuse porous
Nothofagus pseudoresinosa,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus pullei,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus pumilio,,,,,,,Tree,,,,335.0,,woody,,,,,,,semi
Nothofagus resinosa,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus rubra,,,,,,,woody,,,,,,W,,,,,,,
Nothofagus soland,,,,,,,,,,,,,woody,,,,,,,
Nothofagus solanderi,,,,,,,Tree,,,,,,woody,,,,,,,
Nothofagus solandri,,,,,,,tree,,,,,,woody,,,,,,,
Nothofagus solandri var. cliffortioides,,,,,,,,,,,,,Woody,,,,,,,
Nothofagus solandrii,,,,,,,Tree,,,,Perennial,,,,,,,,,
Nothofagus sp,,,,,,,tree,,,,,,woody,,,,,,,
Nothofagus spp.,,,,,,,tree,,,,,,,,,,,,,
Nothofagus starkenborghi,,,,,,,woody,,,,,,woody,,,,,,,
Nothofagus starkenborghiorum,,,,,,,,,,,,,W,,,,,,,
Nothofagus subgen,,,,,,,Free-standing,,,,,,W,,,,,,,
Nothofagus truncata,,,,,,,Tree,,,,perennial,,woody,,,,,,,
Nothofagus_cunninghamii_MF,,,,,,,self,,,,,,,,,,,,,
Nothofagus_cunninghamii_TAS,,,,,,,self,,,,,,,,,,,,,
Nothofagus_gunnii,,,,,,,self,,,,,,,,,,,,,
Nothofagus brassospora,,,,,,,,,,,,,woody,,,,,,,
Nothofagus cunninghamii (Hook.) Oerst.,,,,,dry,,,,,,,,,,,,,,,
Nothofagus gunnii (Hook.f.) Oerst.,,,,,dry,,,,,,,,,,,,,,,
Nothofagus moorei (F.Muell.) Krasser,,,,,dry,,,,,,,,,,,,,,,
Nothofagusábrassospora,,,,,,,woody,,,,,,,,,,,,,
Nothogagus dombeyi,,,,,,,seedlings,,,,,,,,,,,,,
Nothoholcus lanatus,,,,,,,Graminoid,,,,,,,,,,,,,
Notholaena  copelandii,,,,,,,F,,,,,,,,,,,,,
Notholaena NA,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena affinis,,,,,,,Herb,,,,,,,,,,,,,
Notholaena aliena,,,,,,,Herb,,,,,,,,,,,,,
Notholaena aschenborniana,,,,,,,Herb,,,,,,,,,,,,,
Notholaena aurantiaca,,,,,,,Herb,,,,,,,,,,,,,
Notholaena aurea,,,,,,,Herb,,,,,,,,,,,,,
Notholaena brachypus,,,,,,,Herb,,,,,,,,,,,,,
Notholaena bryopoda,,,,,,,Herb,,,,,,,,,,,,,
Notholaena californica,,,,,,,Herb,,,,,,,,,,,,,
Notholaena californica ssp. californica,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena californica ssp. leucophylla,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena candida,,,,,,,Herb,,,,,,,,,,,,,
Notholaena cochisensis,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena copelandii,,,,,,,Herb,,,,,,,,,,,,,
Notholaena dealbata,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena eckloniana,,,,,,,Herb,,,,,,,,,,,,,
Notholaena fendleri,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena fraseri,,,,,,,Herb,,,,,,,,,,,,,
Notholaena galeottii,,,,,,,Herb,,,,,,,,,,,,,
Notholaena grayi,,,,,,,Herb,,,,,,,,,,,,,
Notholaena grayi ssp. grayi,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena grayi ssp. sonorensis,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena greggii,,,,,,,Herb,,,,,,,,,,,,,
Notholaena inaequalis Kunze,,,,,,,herb,,,,,,,,,,,,,
Notholaena incana,,,,,,,Herb,,,,,,,,,,,,,
Notholaena integerrima,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena jonesii,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena lemmonii,,,,,,,Herb,,,,,,,,,,,,,
Notholaena limitanea,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena marantae,,,,,,,,,0.1,,,,,,,,,,,
Notholaena nealleyi,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena neglecta,,,,,,,Herb,,,,,,,,,,,,,
Notholaena newberryi,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena nivea,,,,,,,Herb,,,,,,,,,,,,,
Notholaena obducta,,,,,,,Herb,,,,,,,,,,,,,
Notholaena parryi,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena parvifolia,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena rosei,,,,,,,Herb,,,,,,,,,,,,,
Notholaena schaffneri,,,,,,,Herb,,,,,,,,,,,,,
Notholaena sinuata,,,,,,,Herb,,,,,,,,,,,,,
Notholaena standleyi,,,,,,,Forb/herb,,,,,,,,,,,,,
Notholaena sulphurea,,,,,,,Herb,,,,,,,,,,,,,
Notholaena trichomanoides,,,,,,,Herb,,,,,,,,,,,,,
Notholirion,,,,,,,H,,,,,,,,,,,,,
Notholirion bulbuliferum,,,,,,,Free-standing,,,,,,H,,,,,,,
Notholirion koeiei,,,,,,,Free-standing,,,,,,,,,,,,,
Notholirion macrophyllum,,,,,,,herb,,,,,,non-woody,,,,,,,
Notholirion thomsonianum,,,,,,,Free-standing,,,,,,H,,,,,,,
Notholithocarpus,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Notholithocarpus densiflorus,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Notholithocarpus densiflorus var. densiflorus,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Notholithocarpus densiflorus var. densiflorus f. attenuatodentatus,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Notholithocarpus densiflorus var. echinoides,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Nothopanax arboreum,,,,,,,fern,,,,,,woody,,,,,,,
Nothopanax fruticosa,,,,,,,Shrub,,,,,,,,,,,,,
Nothopanax fruticosus,,,,,,,Shrub,,,,,,,,,,,,,
Nothopanax linearis,,,,,,,Tree,,,,,,,,,,,,,
Nothopanax pinnatus,,,,,,,Shrub,,,,,,,,,,,,,
Nothopegia aureo-fulva,,,,,,,Free-standing,,,,,,,,,,,,,
Nothopegia beddomei,,,,,,,woody,,,,,,W,,,,,,,
Nothopegia colebrookiana,,,,,,,Tree,,,,,,woody,,,,,,,
Nothopegia heyneana,,,,,,,Free-standing,,,,,,,,,,,,,
Nothopegia monadelpha,,,,,,,Free-standing,,,,,,,,,,,,,
Nothopegia racemosa,,,,,,,Free-standing,,,,,,,,,,,,,
Nothopegia travancorica,,,,,,,,,,,,,W,,,,,,,
Nothoperanema NA,,,,,,,Forb/herb,,,,,,,,,,,,,
Nothoperanema rubiginosum,,,,,,,Herb,,,,,,,,,,,,,
Nothoperanema squamisetum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoperanema squamisetum (Hook.) Ching,,,,,,,herb,,,,,,,,,,,,,
Nothosaerva brachiata,,,,,,,herb,,,,annual,,H,,,,,,,
Nothoscordum,,,,,,,H,,,,,,,,,,,,,
Nothoscordum NA,,,,,,,Forb/herb,,,,,,,,,,,,,
Nothoscordum achalense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum albitractum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum altillanense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum andalgalense,,,,,,,Herb (H),,,,,,,,,,,,,
Nothoscordum andicola,,,,,,,Herb,,,,,,,,,,,,,
Nothoscordum andicolum,,,,,,,Herb (H),,,,,,,,,,,,,
Nothoscordum andinum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum aparadense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum arenarium,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum auratum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum bahiense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum balaenense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum basalticum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum bivalve,,,,,,,Herb,,,,per,,H,,,,,,,
Nothoscordum boliviense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum bonariense,,,,,,,Herb,,,,perennial,,non-woody,,,,,,,
Nothoscordum bonariense Beauverd,,,,,,,geop,,,,,,,,,,,,,
Nothoscordum borbonicum,,,,,,,Herb,,,,,,,,,,,,,
Nothoscordum calcaense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum calderense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum cambarense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum capivarinum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum carambolense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum catharinense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum clevelandicum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum collinum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum conostylum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum correntinum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum curvipes,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum cuyanum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum demissum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum dialystemon,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum dynamiandrum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum empedradense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum entrerianum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum exile,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum famatinense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum fragrans,,,,,,,Forb/herb,,,,,,,,,,,,,
Nothoscordum gaudichaudianum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum glareosum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum goianum Ravenna,,,,,,,No,,,,,,,,,,,,,
Nothoscordum gracile,,,,,,,H,,,,perennial,,H,,,,,,,
Nothoscordum gracile (Aiton) Stearn,,,,,,,H,,,,,,,,,,,,,
Nothoscordum gracilipes,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum ibiramense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum ineanum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum inodorum,,,,,,,Herb,,,,perennial,,H,,,,,,,
Nothoscordum inundatum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum inutile,,,,,,,,,,,,,H,,,,,,,
Nothoscordum ipacarainum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum itatiense,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum izaguirreae,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum jaibanum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum jaibanum Ravenna,,,,,,,No,,,,,,,,,,,,,
Nothoscordum leptogynum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum luteomajus,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum luteominus,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum macrantherum,,,,,,,Free-standing,,,,,,,,,,,,,
Nothoscordum mahui,,,,,,,Free-standing,,,,,,,,,,,,,
