species|n|Q05|Q95|A|C|D|E|F|A18
Acacia latifolia|142|12|12|1|0|0|0|0|0
Acacia latior|57|12|12|1|0|0|0|0|0
Acacia latzii|38|12|12|1|0|0|0|0|0
Acacia leeuweniana|5|12|12|1|0|0|0|0|0
Acacia legnota|49|12|12|1|0|0|0|0|0
Acacia leiocalyx|1901|9.75|12|2|3|0|0|0|0
Acacia leiophylla|562|11.01|12|2|3|0|0|0|0
Acacia leprosa|1276|4.74|10.02|0|2|3|0|0|0
Acacia leptocarpa|938|12|12|1|0|0|0|0|0
Acacia leptoloba|89|12|12|1|0|0|0|0|0
Acacia leptopetala|120|11.04|12|2|3|0|0|0|0
Acacia leptostachya|710|12|12|1|0|0|0|0|0
Acacia leucoclada|301|8.09|12|2|3|0|0|0|0
Acacia ligulata|6247|10.39|12|2|3|0|0|0|0
Acacia linearifolia|598|8.14|12|2|3|0|0|0|0
Acacia linifolia|2102|8.79|12|2|3|0|0|0|0
Acacia loderi|270|10.43|12|2|3|0|0|0|0
Acacia longifolia|8844|7.99|12|2|9|3|0|0|0
Acacia longiphyllodinea|51|12|12|1|0|0|0|0|0
Acacia longispicata|361|11.09|12|2|3|0|0|0|0
Acacia longispinea|180|11.06|12|2|3|0|0|0|0
Acacia longissima|762|9.72|12|2|3|0|0|0|0
Acacia loroloba|66|11.06|12|2|3|0|0|0|0
Acacia lunata|131|8.61|12|2|3|0|0|0|0
Acacia lysiphloia|799|12|12|1|0|0|0|0|0
Acacia mabellae|328|7.24|12|2|9|3|0|0|0
Acacia macdonnellensis|156|12|12|1|0|0|0|0|0
Acacia maconochieana|37|12|12|1|0|0|0|0|0
Acacia macradenia|150|11.09|12|2|3|0|0|0|0
Acacia maidenii|2504|8.94|12|2|3|0|0|0|0
Acacia mangium|450|11.1|12|2|3|0|0|0|0
Acacia maranoensis|31|12|12|1|0|0|0|0|0
Acacia marramamba|52|12|12|1|0|0|0|0|0
Acacia masliniana|48|12|12|1|0|0|0|0|0
Acacia mathuataensis|1|12|12|1|0|0|0|0|1
Acacia matthewii|46|7.29|12|2|9|3|0|0|0
Acacia mearnsii|11375|6.77|12|2|9|3|0|0|0
Acacia meiosperma|36|12|12|1|0|0|0|0|0
Acacia melanoxylon|25420|5.51|12|2|9|3|0|0|0
Acacia melvillei|533|9.26|12|2|3|0|0|0|0
Acacia merinthophora|59|11.02|12|2|3|0|0|0|0
Acacia microbotrya|298|11.04|12|2|3|0|0|0|0
Acacia microcybe|30|12|12|1|0|0|0|0|0
Acacia microsperma|78|12|12|1|0|0|0|0|0
Acacia mimula|344|12|12|1|0|0|0|0|0
Acacia minniritchi|37|12|12|1|0|0|0|0|0
Acacia minyura|313|12|12|1|0|0|0|0|0
Acacia mollifolia|108|8.05|11|0|1|0|0|0|0
Acacia montana|1079|8.13|11.92|0|1|0|0|0|0
Acacia monticola|651|12|12|1|0|0|0|0|0
Acacia mountfordiae|36|12|12|1|0|0|0|0|0
Acacia muelleriana|117|9|12|2|3|0|0|0|0
Acacia mulganeura|141|12|12|1|0|0|0|0|0
Acacia multisiliqua|557|12|12|1|0|0|0|0|0
Acacia multispicata|385|11.05|12|2|3|0|0|0|0
Acacia multistipulosa|35|12|12|1|0|0|0|0|0
Acacia murrayana|1377|11.07|12|2|3|0|0|0|0
Acacia myrtifolia|7347|7.29|12|2|9|3|0|0|0
Acacia nanodealbata|186|5.33|10.77|0|2|3|0|0|0
Acacia neriifolia|1000|8.12|12|2|3|0|0|0|0
Acacia neurocarpa|181|12|12|1|0|0|0|0|0
Acacia neurophylla|234|11.04|12|2|3|0|0|0|0
Acacia nyssophylla|1611|10.24|12|2|3|0|0|0|0
Acacia obliquinervia|1942|3.43|9.3|0|2|9|3|0|0
Acacia obtusifolia|2240|6.61|12|2|9|3|0|0|0
Acacia oldfieldii|56|12|12|1|0|0|0|0|0
Acacia olgana|96|12|12|1|0|0|0|0|0
Acacia oligoneura|49|12|12|1|0|0|0|0|0
Acacia olsenii|19|6.09|9.7|0|2|3|0|0|0
Acacia omalophylla|495|9|12|2|3|0|0|0|0
Acacia ommatosperma|17|12|12|1|0|0|0|0|0
Acacia oncinocarpa|731|12|12|1|0|0|0|0|0
Acacia oraria|134|12|12|1|0|0|0|0|0
Acacia orites|132|7.79|12|2|9|3|0|0|0
Acacia orthocarpa|333|12|12|1|0|0|0|0|0
Acacia oshanesii|189|11.08|12|2|3|0|0|0|0
Acacia oswaldii|4587|9.34|12|2|3|0|0|0|0
Acacia oxycedrus|1527|6.65|12|2|9|3|0|0|0
Acacia pachyacra|189|12|12|1|0|0|0|0|0
Acacia pachycarpa|68|12|12|1|0|0|0|0|0
Acacia pachyceras|17|11|12|2|3|0|0|0|0
Acacia palustris|26|12|12|1|0|0|0|0|0
Acacia papyrocarpa|1207|11.09|12|2|3|0|0|0|0
Acacia paradoxa|7803|7.29|12|2|9|3|0|0|0
Acacia paraneura|271|12|12|1|0|0|0|0|0
Acacia parramattensis|2426|7.39|12|2|9|3|0|0|0
Acacia parvipinnula|1060|9.48|12|2|3|0|0|0|0
Acacia pataczekii|58|4|7.08|0|0|1|0|0|0
Acacia pedleyi|24|12|12|1|0|0|0|0|0
Acacia pellita|165|12|12|1|0|0|0|0|0
Acacia pendula|1141|8.32|12|2|3|0|0|0|0
Acacia penninervis|1633|6.82|12|2|9|3|0|0|0
Acacia pentadenia|134|12|12|1|0|0|0|0|0
Acacia petraea|112|12|12|1|0|0|0|0|0
Acacia peuce|105|12|12|1|0|0|0|0|0
Acacia phlebophylla|32|4|8.45|0|2|3|0|0|0
Acacia pickardii|49|12|12|1|0|0|0|0|0
Acacia platycarpa|840|12|12|1|0|0|0|0|0
