species|n|Q05|Q95|A|C|D|E|F|A18
Frangula sphaerosperma|313|11.02|12|2|3|0|0|0|0
Frangula ulei|4|12|12|1|0|0|0|0|0
Franklinia alatamaha|12|6|7|0|0|1|0|0|0
Fraunhofera multiflora|68|12|12|1|0|0|0|0|0
Fraxinus albicans|15|9|12|2|3|0|0|0|0
Fraxinus americana|3888|4.13|10.11|0|2|3|0|0|0
Fraxinus angustifolia|8734|5.28|11.7|0|2|3|0|0|0
Fraxinus anomala|468|4.92|9.28|0|2|3|0|0|0
Fraxinus apertisquamifera|153|3.14|7.29|0|0|2|3|0|0
Fraxinus baroniana|1|7|7|0|0|1|0|0|0
Fraxinus berlandieriana|112|8.85|12|2|3|0|0|0|0
Fraxinus bungeana|23|5|7|0|0|1|0|0|0
Fraxinus caroliniana|254|8.07|12|2|3|0|0|0|0
Fraxinus chiisanensis|34|5|7|0|0|1|0|0|0
Fraxinus chinensis|1044|4.63|8.77|0|2|3|0|0|0
Fraxinus cuspidata|204|4.96|12|2|9|3|0|0|0
Fraxinus dimorpha|4|6|8|0|2|3|0|0|0
Fraxinus dipetala|492|6.63|12|2|9|3|0|0|0
Fraxinus dubia|87|12|12|1|0|0|0|0|0
Fraxinus excelsior|171779|3.48|6.89|0|0|2|3|0|0
Fraxinus ferruginea|2|10|10|0|1|0|0|0|0
Fraxinus floribunda|83|7.11|12|2|9|3|0|0|0
Fraxinus gooddingii|46|7.72|12|2|9|3|0|0|0
Fraxinus greggii|181|9|12|2|3|0|0|0|0
Fraxinus griffithii|161|8.06|12|2|3|0|0|0|0
Fraxinus hookeri|1|5|5|0|0|1|0|0|0
Fraxinus hubeiensis|2|8|8|0|1|0|0|0|0
Fraxinus insularis|83|6.8|12|2|9|3|0|0|0
Fraxinus lanuginosa|866|3.56|8.03|0|2|9|3|0|0
Fraxinus latifolia|534|5.27|11.18|0|2|3|0|0|0
Fraxinus longicuspis|265|5.08|8.7|0|2|3|0|0|0
Fraxinus malacophylla|8|8|12|2|3|0|0|0|0
Fraxinus mandshurica|345|3.21|6.98|0|0|2|3|0|0
Fraxinus micrantha|2|7|7|0|0|1|0|0|0
Fraxinus nigra|1539|3.49|6.12|0|0|2|3|0|0
Fraxinus odontocalyx|19|7|11.61|0|2|3|0|0|0
Fraxinus ornus|4958|4.97|9.83|0|2|3|0|0|0
Fraxinus pallisiae|3|6|7|0|0|1|0|0|0
Fraxinus papillosa|20|6|12|2|9|3|0|0|0
Fraxinus paxiana|22|2|11.49|0|2|9|3|0|0
Fraxinus pennsylvanica|5025|4.16|9.6|0|2|3|0|0|0
Fraxinus platypoda|141|4.54|8.08|0|2|3|0|0|0
Fraxinus potosina|13|12|12|1|0|0|0|0|0
Fraxinus pringlei|16|7|12|2|9|3|0|0|0
Fraxinus profunda|114|5.32|12|2|9|3|0|0|0
Fraxinus punctata|4|7|9|0|2|3|0|0|0
Fraxinus purpusii|85|11.09|12|2|3|0|0|0|0
Fraxinus quadrangulata|346|5.12|7.96|0|0|1|0|0|0
Fraxinus rufescens|25|10.75|12|2|3|0|0|0|0
Fraxinus sieboldiana|1021|5.1|8.59|0|2|3|0|0|0
Fraxinus sogdiana|18|1.53|7|0|0|2|3|0|0
Fraxinus stylosa|11|0.2|9|0|2|9|9|3|0
Fraxinus suaveolens|4|5|9|0|2|3|0|0|0
Fraxinus trifoliolata|93|8.41|12|2|3|0|0|0|0
Fraxinus uhdei|531|11.02|12|2|3|0|0|0|0
Fraxinus velutina|835|5.69|12|2|9|3|0|0|0
Fraxinus xanthoxyloides|36|2.3|8.79|0|2|9|3|0|0
Fremontodendron californicum|718|5.05|12|2|9|3|0|0|0
Fremontodendron mexicanum|45|10.16|12|2|3|0|0|0|0
Freziera alata|6|12|12|1|0|0|0|0|0
Freziera angulosa|3|12|12|1|0|0|0|0|0
Freziera apolobambensis|6|11|12|2|3|0|0|0|0
Freziera arbutifolia|16|12|12|1|0|0|0|0|0
Freziera bonplandiana|35|0|12|2|9|9|9|3|0
Freziera calophylla|34|9.04|12|2|3|0|0|0|0
Freziera campanulata|8|12|12|1|0|0|0|0|0
Freziera candicans|113|8.12|12|2|3|0|0|0|0
Freziera canescens|111|0|12|2|9|9|9|3|0
Freziera carinata|27|12|12|1|0|0|0|0|0
Freziera chrysophylla|45|4.17|12|2|9|3|0|0|0
Freziera cordata|2|12|12|1|0|0|0|0|0
Freziera croatii|10|12|12|1|0|0|0|0|0
Freziera dasycarpa|3|12|12|1|0|0|0|0|0
Freziera dudleyi|15|8.13|12|2|3|0|0|0|0
Freziera ecuadoriensis|5|8|12|2|3|0|0|0|0
Freziera erickitae|2|12|12|1|0|0|0|0|0
Freziera euryoides|2|10|12|2|3|0|0|0|0
Freziera ferruginea|2|12|12|1|0|0|0|0|0
Freziera forerorum|2|12|12|1|0|0|0|0|0
Freziera friedrichsthaliana|45|12|12|1|0|0|0|0|0
Freziera glabrescens|15|12|12|1|0|0|0|0|0
Freziera golondrinensis|6|10|12|2|3|0|0|0|0
Freziera grandiflora|6|12|12|1|0|0|0|0|0
Freziera grisebachii|17|12|12|1|0|0|0|0|0
Freziera guaramacalana|3|12|12|1|0|0|0|0|0
Freziera guatemalensis|50|12|12|1|0|0|0|0|0
Freziera inaequilatera|5|12|12|1|0|0|0|0|0
Freziera jaramilloi|2|12|12|1|0|0|0|0|0
Freziera karsteniana|21|12|12|1|0|0|0|0|0
Freziera lanata|59|0.6|12|2|9|9|9|3|0
Freziera longipes|4|0|10|0|2|9|9|3|0
Freziera magnibracteolata|3|8|12|2|3|0|0|0|0
Freziera microphylla|4|0|12|2|9|9|9|3|0
Freziera minima|17|12|12|1|0|0|0|0|0
Freziera monteagudoi|1|12|12|1|0|0|0|0|0
Freziera neillii|6|12|12|1|0|0|0|0|0
Freziera nervosa|39|6.97|12|2|9|3|0|0|0
Freziera obovata|6|8|12|2|3|0|0|0|0
Freziera oxapampensis|7|12|12|1|0|0|0|0|0
Freziera parva|12|12|12|1|0|0|0|0|0
Freziera peruana|4|12|12|1|0|0|0|0|0
Freziera reticulata|69|0|12|2|9|9|9|3|0
Freziera revoluta|5|12|12|1|0|0|0|0|0
Freziera roraimensis|1|12|12|1|0|0|0|0|0
Freziera sessiliflora|6|12|12|1|0|0|0|0|0
Freziera spathulifolia|2|12|12|1|0|0|0|0|0
Freziera suberosa|9|0|12|2|9|9|9|3|0
Freziera subintegrifolia|1|12|12|1|0|0|0|0|0
Freziera tomentosa|14|12|12|1|0|0|0|0|0
Freziera tundaymensis|1|12|12|1|0|0|0|0|0
Freziera uncinata|4|11|12|2|3|0|0|0|0
Freziera undulata|4|12|12|1|0|0|0|0|0
Freziera uniauriculata|3|12|12|1|0|0|0|0|0
Freziera verrucosa|92|5.3|12|2|9|3|0|0|0
Freziera yanachagensis|4|12|12|1|0|0|0|0|0
Froesia crassiflora|4|12|12|1|0|0|0|0|1
Froesia diffusa|17|12|12|1|0|0|0|0|1
Froesia gereauana|1|12|12|1|0|0|0|0|0
Froesia tricarpa|5|12|12|1|0|0|0|0|1
Froesiodendron amazonicum|20|12|12|1|0|0|0|0|1
Froesiodendron longicuspe|1|12|12|1|0|0|0|0|1
Froesiodendron urceocalyx|1|12|12|1|0|0|0|0|1
Fuchsia arborescens|24|12|12|1|0|0|0|0|0
Fuchsia boliviana|530|8.42|12|2|3|0|0|0|0
Fuchsia cyrtandroides|7|12|12|1|0|0|0|0|0
Fuchsia denticulata|111|0|12|2|9|9|9|3|0
Fuchsia excorticata|6277|3.6|8.97|0|2|9|3|0|0
Fuchsia paniculata|865|10.86|12|2|3|0|0|0|0
Fuchsia regia|327|9.22|12|2|3|0|0|0|0
Fuchsia triphylla|44|10.07|12|2|3|0|0|0|0
Fulcaldea laurifolia|10|12|12|1|0|0|0|0|0
Funifera brasiliensis|11|12|12|1|0|0|0|0|0
Funifera ericiflora|3|12|12|1|0|0|0|0|0
Funifera grandifolia|8|12|12|1|0|0|0|0|0
Funtumia africana|387|12|12|1|0|0|0|0|0
Funtumia elastica|220|12|12|1|0|0|0|0|0
Furcraea acaulis|5|12|12|1|0|0|0|0|0
Furcraea longaeva|51|12|12|1|0|0|0|0|0
Furcraea macdougalii|22|12|12|1|0|0|0|0|0
Furcraea martinezii|3|12|12|1|0|0|0|0|0
Furcraea niquivilensis|11|12|12|1|0|0|0|0|0
Furcraea parmentieri|137|7.26|12|2|9|3|0|0|0
Fusaea longifolia|374|12|12|1|0|0|0|0|0
Fusaea peruviana|36|12|12|1|0|0|0|0|1
Fusispermum laxiflorum|44|12|12|1|0|0|0|0|0
Fusispermum minutiflorum|43|12|12|1|0|0|0|0|0
Fusispermum rubrolignosum|7|12|12|1|0|0|0|0|1
Gabonius ngouniensis|77|12|12|1|0|0|0|0|0
Gaertnera arenaria|87|12|12|1|0|0|0|0|0
Gaertnera bambusifolia|4|12|12|1|0|0|0|0|0
Gaertnera bieleri|43|12|12|1|0|0|0|0|0
Gaertnera breviflora|29|12|12|1|0|0|0|0|0
Gaertnera cardiocarpa|15|12|12|1|0|0|0|0|0
Gaertnera cooperi|38|12|12|1|0|0|0|0|1
Gaertnera cuneifolia|1|12|12|1|0|0|0|0|0
Gaertnera divaricata|3|12|12|1|0|0|0|0|1
Gaertnera drakeana|8|12|12|1|0|0|0|0|0
Gaertnera eketensis|13|12|12|1|0|0|0|0|0
Gaertnera fractiflexa|2|12|12|1|0|0|0|0|1
Gaertnera globigera|1|12|12|1|0|0|0|0|1
Gaertnera grisea|1|12|12|1|0|0|0|0|1
Gaertnera guillotii|87|12|12|1|0|0|0|0|0
Gaertnera hirsuta|4|12|12|1|0|0|0|0|0
Gaertnera hirtiflora|3|12|12|1|0|0|0|0|0
Gaertnera hispida|11|12|12|1|0|0|0|0|0
Gaertnera humblotii|19|12|12|1|0|0|0|0|0
Gaertnera ianthina|34|12|12|1|0|0|0|0|0
Gaertnera inflexa|29|12|12|1|0|0|0|0|0
Gaertnera junghuhniana|152|12|12|1|0|0|0|0|0
Gaertnera laevis|10|12|12|1|0|0|0|0|0
Gaertnera leucothyrsa|18|12|12|1|0|0|0|0|0
Gaertnera liberiensis|1|12|12|1|0|0|0|0|1
Gaertnera littoralis|4|12|12|1|0|0|0|0|1
Gaertnera longevaginalis|43|12|12|1|0|0|0|0|0
Gaertnera longifolia|2|12|12|1|0|0|0|0|0
Gaertnera lowryi|9|12|12|1|0|0|0|0|0
Gaertnera macrobotrys|34|12|12|1|0|0|0|0|0
Gaertnera macrostipula|130|12|12|1|0|0|0|0|0
Gaertnera madagascariensis|34|12|12|1|0|0|0|0|0
Gaertnera masoalana|4|12|12|1|0|0|0|0|0
Gaertnera microphylla|7|12|12|1|0|0|0|0|0
Gaertnera monstruosa|7|12|12|1|0|0|0|0|0
Gaertnera obesa|1|12|12|1|0|0|0|0|1
Gaertnera obovata|258|12|12|1|0|0|0|0|0
Gaertnera paniculata|242|12|12|1|0|0|0|0|0
Gaertnera pauciflora|24|12|12|1|0|0|0|0|0
Gaertnera phanerophlebia|74|12|12|1|0|0|0|0|0
Gaertnera phyllosepala|50|12|12|1|0|0|0|0|0
Gaertnera phyllostachya|76|12|12|1|0|0|0|0|0
Gaertnera psychotrioides|5|12|12|1|0|0|0|0|0
Gaertnera ramosa|3|12|12|1|0|0|0|0|0
Gaertnera raphaelii|41|12|12|1|0|0|0|0|0
Gaertnera razakamalalana|8|12|12|1|0|0|0|0|0
Gaertnera robusta|27|12|12|1|0|0|0|0|0
Gaertnera rosea|2|12|12|1|0|0|0|0|0
Gaertnera rotundifolia|3|12|12|1|0|0|0|0|0
Gaertnera rubra|18|12|12|1|0|0|0|0|0
Gaertnera schatzii|2|12|12|1|0|0|0|0|0
Gaertnera sclerophylla|16|12|12|1|0|0|0|0|0
Gaertnera spicata|9|12|12|1|0|0|0|0|1
Gaertnera ternifolia|1|12|12|1|0|0|0|0|0
Gaertnera trachystyla|65|12|12|1|0|0|0|0|0
Gaertnera vaginans|27|12|12|1|0|0|0|0|1
Gaertnera vaginata|72|10.12|12|2|3|0|0|0|0
Gaertnera velutina|10|12|12|1|0|0|0|0|0
Gaertnera vernicosa|6|12|12|1|0|0|0|0|0
Gaertnera walkeri|4|12|12|1|0|0|0|0|0
Gaertnera xerophila|4|12|12|1|0|0|0|0|0
Gagnebina bakoliae|1|12|12|1|0|0|0|0|1
Gagnebina commersoniana|103|12|12|1|0|0|0|0|0
Gagnebina pterocarpa|15|12|12|1|0|0|0|0|0
Gaiadendron punctatum|1087|0|12|2|9|9|9|3|0
Galactia marginalis|50|7.6|12|2|9|3|0|0|0
Galbulimima belgraveana|209|8.38|12|2|3|0|0|0|0
Galearia aristifera|17|12|12|1|0|0|0|0|1
Galearia celebica|97|12|12|1|0|0|0|0|0
Galearia filiformis|10|12|12|1|0|0|0|0|0
Galearia fulva|173|12|12|1|0|0|0|0|0
Galearia maingayi|24|12|12|1|0|0|0|0|1
Galiniera saxifraga|214|12|12|1|0|0|0|0|0
Galipea carinata|4|12|12|1|0|0|0|0|0
Galipea ciliata|35|12|12|1|0|0|0|0|0
Galipea congestiflora|20|12|12|1|0|0|0|0|0
Galipea dasysperma|36|12|12|1|0|0|0|0|1
Galipea davisii|16|12|12|1|0|0|0|0|1
Galipea grandifolia|1|12|12|1|0|0|0|0|0
Galipea jasminiflora|144|12|12|1|0|0|0|0|0
Galipea laxiflora|15|12|12|1|0|0|0|0|0
Galipea panamensis|11|12|12|1|0|0|0|0|0
Galipea revoluta|4|12|12|1|0|0|0|0|0
Galipea trifoliata|166|12|12|1|0|0|0|0|0
Gallesia integrifolia|230|12|12|1|0|0|0|0|0
Gallienia sclerophylla|39|11.07|12|2|3|0|0|0|0
Galphimia oaxacana|9|12|12|1|0|0|0|0|0
Galpinia transvaalica|57|12|12|1|0|0|0|0|0
Gambeya azaguieana|23|12|12|1|0|0|0|0|1
Gambeya beguei|54|12|12|1|0|0|0|0|0
Gambeya boiviniana|179|12|12|1|0|0|0|0|0
Gambeya boukokoensis|35|12|12|1|0|0|0|0|0
Gambeya gigantea|44|12|12|1|0|0|0|0|0
Gambeya gorungosana|55|12|12|1|0|0|0|0|0
Gambeya korupensis|5|12|12|1|0|0|0|0|1
Gambeya lacourtiana|76|12|12|1|0|0|0|0|0
Gambeya lungi|5|12|12|1|0|0|0|0|0
Gambeya muerensis|22|12|12|1|0|0|0|0|0
Gambeya taiensis|19|12|12|1|0|0|0|0|0
Gamblea ciliata|92|3.18|11.13|0|2|9|3|0|0
Gamblea innovans|440|5.06|8.71|0|2|3|0|0|0
Gamblea malayana|5|12|12|1|0|0|0|0|0
Gamblea pseudoevodiifolia|13|4.15|12|2|9|3|0|0|0
Ganophyllum falcatum|288|12|12|1|0|0|0|0|0
Ganophyllum giganteum|43|12|12|1|0|0|0|0|0
Garcia nutans|202|12|12|1|0|0|0|0|0
Garcia parviflora|44|12|12|1|0|0|0|0|0
Garcinia acutifolia|3|12|12|1|0|0|0|0|0
Garcinia adinantha|3|12|12|1|0|0|0|0|1
Garcinia afzelii|57|12|12|1|0|0|0|0|0
Garcinia albuquerquei|2|12|12|1|0|0|0|0|1
Garcinia ambrensis|9|12|12|1|0|0|0|0|0
Garcinia amplexicaulis|40|12|12|1|0|0|0|0|0
Garcinia anjouanensis|14|12|12|1|0|0|0|0|0
Garcinia anomala|18|9.4|12|2|3|0|0|0|0
Garcinia apetala|2|12|12|1|0|0|0|0|1
Garcinia aphanophlebia|23|12|12|1|0|0|0|0|0
Garcinia archboldiana|11|12|12|1|0|0|0|0|0
Garcinia arenicola|16|12|12|1|0|0|0|0|0
Garcinia aristata|2|12|12|1|0|0|0|0|0
Garcinia assugu|14|12|12|1|0|0|0|0|0
Garcinia asterandra|36|12|12|1|0|0|0|0|0
Garcinia atroviridis|17|12|12|1|0|0|0|0|0
Garcinia bakeriana|1|12|12|1|0|0|0|0|0
Garcinia balica|6|12|12|1|0|0|0|0|1
Garcinia balimensis|1|12|12|1|0|0|0|0|1
Garcinia bancana|50|12|12|1|0|0|0|0|0
Garcinia barkeriana|1|12|12|1|0|0|0|0|1
Garcinia beccarii|32|12|12|1|0|0|0|0|0
Garcinia benthamiana|32|12|12|1|0|0|0|0|1
Garcinia bifasciculata|3|12|12|1|0|0|0|0|0
Garcinia binucao|11|12|12|1|0|0|0|0|0
Garcinia blumei|6|12|12|1|0|0|0|0|1
Garcinia borneensis|3|12|12|1|0|0|0|0|1
Garcinia brasiliensis|187|12|12|1|0|0|0|0|0
Garcinia brassii|40|12|12|1|0|0|0|0|0
Garcinia brevipes|12|12|12|1|0|0|0|0|0
Garcinia brevirostris|10|12|12|1|0|0|0|0|0
Garcinia buchananii|50|12|12|1|0|0|0|0|0
Garcinia burkillii|1|12|12|1|0|0|0|0|1
Garcinia calcicola|53|12|12|1|0|0|0|0|0
Garcinia cantleyana|2|12|12|1|0|0|0|0|0
Garcinia caudiculata|19|12|12|1|0|0|0|0|0
Garcinia celebica|72|12|12|1|0|0|0|0|0
Garcinia cerasifer|14|12|12|1|0|0|0|0|0
Garcinia chapelieri|82|12|12|1|0|0|0|0|0
Garcinia chromocarpa|58|12|12|1|0|0|0|0|0
Garcinia corallina|33|12|12|1|0|0|0|0|0
Garcinia costata|2|12|12|1|0|0|0|0|1
Garcinia cowa|34|11.01|12|2|3|0|0|0|0
Garcinia crassiflora|18|12|12|1|0|0|0|0|0
Garcinia crassifolia|1|12|12|1|0|0|0|0|0
Garcinia cuspidata|4|12|12|1|0|0|0|0|0
Garcinia cymosa|3|12|12|1|0|0|0|0|1
Garcinia dalleizettei|12|12|12|1|0|0|0|0|0
Garcinia dauphinensis|52|12|12|1|0|0|0|0|0
Garcinia decipiens|54|12|12|1|0|0|0|0|0
Garcinia delpyana|1|12|12|1|0|0|0|0|1
Garcinia densiflora|10|12|12|1|0|0|0|0|0
Garcinia densivenia|23|12|12|1|0|0|0|0|0
Garcinia diospyrifolia|11|12|12|1|0|0|0|0|1
Garcinia diversifolia|1|12|12|1|0|0|0|0|1
Garcinia dives|2|12|12|1|0|0|0|0|1
Garcinia dryobalanoides|4|12|12|1|0|0|0|0|1
Garcinia dulcis|144|12|12|1|0|0|0|0|0
Garcinia echinocarpa|4|12|12|1|0|0|0|0|0
Garcinia elliptica|7|12|12|1|0|0|0|0|1
Garcinia epunctata|93|12|12|1|0|0|0|0|0
Garcinia esculenta|3|9|9|0|1|0|0|0|0
Garcinia evonymoides|29|12|12|1|0|0|0|0|0
Garcinia fagraeoides|2|12|12|1|0|0|0|0|0
Garcinia forbesii|39|12|12|1|0|0|0|0|0
Garcinia fusca|1|12|12|1|0|0|0|0|0
Garcinia gaudichaudii|22|12|12|1|0|0|0|0|0
Garcinia gerrardii|13|10.05|12|2|3|0|0|0|0
Garcinia gibbsiae|44|12|12|1|0|0|0|0|0
Garcinia goudotiana|44|12|12|1|0|0|0|0|0
Garcinia griffithii|8|12|12|1|0|0|0|0|0
Garcinia guacopary|67|12|12|1|0|0|0|0|0
Garcinia gummi-gutta|18|12|12|1|0|0|0|0|0
Garcinia hanburyi|14|12|12|1|0|0|0|0|0
Garcinia harmandii|2|12|12|1|0|0|0|0|1
Garcinia havilandii|5|12|12|1|0|0|0|0|1
Garcinia hendersoniana|4|12|12|1|0|0|0|0|0
Garcinia hennecartii|18|12|12|1|0|0|0|0|0
Garcinia hessii|2|12|12|1|0|0|0|0|0
Garcinia hollrungii|12|12|12|1|0|0|0|0|0
Garcinia hopii|2|12|12|1|0|0|0|0|0
Garcinia huillensis|28|12|12|1|0|0|0|0|0
Garcinia humilis|19|12|12|1|0|0|0|0|0
Garcinia hunsteinii|30|12|12|1|0|0|0|0|0
Garcinia indica|7|12|12|1|0|0|0|0|0
Garcinia intermedia|439|12|12|1|0|0|0|0|0
Garcinia jaweri|1|12|12|1|0|0|0|0|0
Garcinia kingaensis|40|12|12|1|0|0|0|0|0
Garcinia kola|135|12|12|1|0|0|0|0|0
Garcinia lanceifolia|13|12|12|1|0|0|0|0|0
Garcinia lancilimba|1|12|12|1|0|0|0|0|0
Garcinia lanessanii|2|12|12|1|0|0|0|0|1
Garcinia latissima|42|12|12|1|0|0|0|0|0
Garcinia leptophylla|3|12|12|1|0|0|0|0|1
Garcinia letestui|10|12|12|1|0|0|0|0|0
Garcinia linii|6|12|12|1|0|0|0|0|0
Garcinia livingstonei|262|8.38|12|2|3|0|0|0|0
Garcinia longifolia|2|12|12|1|0|0|0|0|1
Garcinia lowryi|49|12|12|1|0|0|0|0|0
Garcinia lucida|80|12|12|1|0|0|0|0|0
Garcinia macrantha|1|12|12|1|0|0|0|0|0
Garcinia macrophylla|454|12|12|1|0|0|0|0|0
Garcinia madagascariensis|15|12|12|1|0|0|0|0|0
Garcinia madruno|604|12|12|1|0|0|0|0|0
Garcinia magnifolia|71|12|12|1|0|0|0|0|0
Garcinia maingayi|19|12|12|1|0|0|0|0|0
Garcinia maluensis|23|12|12|1|0|0|0|0|0
Garcinia mammeoides|2|12|12|1|0|0|0|0|1
Garcinia mangorensis|31|12|12|1|0|0|0|0|0
Garcinia mangostana|11|12|12|1|0|0|0|0|1
Garcinia mannii|153|12|12|1|0|0|0|0|0
Garcinia martini|1|12|12|1|0|0|0|0|1
Garcinia mckeaniana|4|7|12|2|9|3|0|0|0
Garcinia megistophylla|21|12|12|1|0|0|0|0|0
Garcinia memecyloides|4|12|12|1|0|0|0|0|1
Garcinia merguensis|30|12|12|1|0|0|0|0|0
Garcinia mestoni|27|12|12|1|0|0|0|0|0
Garcinia microcarpa|7|12|12|1|0|0|0|0|0
Garcinia minahassensis|1|12|12|1|0|0|0|0|1
Garcinia minimiflora|6|12|12|1|0|0|0|0|1
Garcinia miquelii|11|12|12|1|0|0|0|0|0
Garcinia morella|9|12|12|1|0|0|0|0|0
Garcinia moszkowskii|1|12|12|1|0|0|0|0|1
Garcinia mottleyana|4|12|12|1|0|0|0|0|1
Garcinia multifida|3|12|12|1|0|0|0|0|0
Garcinia multiflora|118|8.63|12|2|3|0|0|0|0
Garcinia murdochii|1|12|12|1|0|0|0|0|1
Garcinia myristicifolia|2|12|12|1|0|0|0|0|1
Garcinia myrtifolia|1|12|12|1|0|0|0|0|1
Garcinia nervosa|13|12|12|1|0|0|0|0|1
Garcinia nigrolineata|10|12|12|1|0|0|0|0|0
Garcinia nitida|3|12|12|1|0|0|0|0|1
Garcinia nujiangensis|7|9|10|0|1|0|0|0|0
Garcinia obliqua|9|12|12|1|0|0|0|0|0
Garcinia oblongifolia|38|10.15|12|2|3|0|0|0|0
Garcinia oliveri|7|12|12|1|0|0|0|0|0
Garcinia orthoclada|131|12|12|1|0|0|0|0|0
Garcinia ovalifolia|201|12|12|1|0|0|0|0|0
Garcinia pachyclada|2|12|12|1|0|0|0|0|0
Garcinia pancheri|4|12|12|1|0|0|0|0|0
Garcinia parvifolia|121|12|12|1|0|0|0|0|0
Garcinia parvula|30|12|12|1|0|0|0|0|0
Garcinia pauciflora|62|12|12|1|0|0|0|0|0
Garcinia paucinervis|7|11|12|2|3|0|0|0|0
Garcinia pedunculata|3|9|12|2|3|0|0|0|0
Garcinia penangiana|9|12|12|1|0|0|0|0|1
Garcinia pervillei|69|12|12|1|0|0|0|0|0
Garcinia petiolaris|2|12|12|1|0|0|0|0|1
Garcinia picrorhiza|4|12|12|1|0|0|0|0|1
Garcinia planchonii|1|12|12|1|0|0|0|0|0
Garcinia platyphylla|3|12|12|1|0|0|0|0|0
Garcinia ponapensis|1|12|12|1|0|0|0|0|1
Garcinia portoricensis|13|12|12|1|0|0|0|0|0
Garcinia prainiana|4|12|12|1|0|0|0|0|0
Garcinia preussii|26|12|12|1|0|0|0|0|0
Garcinia pseudoguttifera|54|12|12|1|0|0|0|0|0
Garcinia puat|38|12|12|1|0|0|0|0|0
Garcinia punctata|186|12|12|1|0|0|0|0|0
Garcinia pyrifera|2|12|12|1|0|0|0|0|0
Garcinia quadrifaria|43|12|12|1|0|0|0|0|0
Garcinia quaesita|1|12|12|1|0|0|0|0|1
Garcinia revoluta|2|12|12|1|0|0|0|0|0
Garcinia rheedei|3|12|12|1|0|0|0|0|0
Garcinia rigida|3|12|12|1|0|0|0|0|0
Garcinia riparia|6|12|12|1|0|0|0|0|0
Garcinia robsoniana|3|12|12|1|0|0|0|0|0
Garcinia rostrata|26|12|12|1|0|0|0|0|0
Garcinia rubra|2|12|12|1|0|0|0|0|1
Garcinia rumiyo|1|12|12|1|0|0|0|0|1
Garcinia sabangensis|7|12|12|1|0|0|0|0|1
Garcinia sangudsangud|7|12|12|1|0|0|0|0|1
Garcinia schomburgkiana|2|12|12|1|0|0|0|0|0
Garcinia schraderi|14|12|12|1|0|0|0|0|0
Garcinia semseii|10|12|12|1|0|0|0|0|0
Garcinia sessilis|6|12|12|1|0|0|0|0|1
Garcinia sizygiifolia|3|12|12|1|0|0|0|0|1
Garcinia smeathmanii|375|12|12|1|0|0|0|0|0
Garcinia spicata|10|12|12|1|0|0|0|0|0
Garcinia staudtii|9|12|12|1|0|0|0|0|1
Garcinia subelliptica|13|12|12|1|0|0|0|0|0
Garcinia subfalcata|2|12|12|1|0|0|0|0|0
Garcinia subtilinervis|1|12|12|1|0|0|0|0|1
Garcinia sulphurea|2|12|12|1|0|0|0|0|1
Garcinia talbotii|8|12|12|1|0|0|0|0|0
Garcinia tanzaniensis|5|12|12|1|0|0|0|0|0
Garcinia terpnophylla|1|12|12|1|0|0|0|0|1
Garcinia tetrandra|10|12|12|1|0|0|0|0|1
Garcinia teysmanniana|1|12|12|1|0|0|0|0|0
Garcinia thorelii|4|12|12|1|0|0|0|0|0
Garcinia thouvenotii|10|12|12|1|0|0|0|0|0
Garcinia travancorica|1|12|12|1|0|0|0|0|1
Garcinia tsaratananae|71|11.09|12|2|3|0|0|0|0
Garcinia tsimatimia|4|12|12|1|0|0|0|0|0
Garcinia uniflora|6|12|12|1|0|0|0|0|0
Garcinia urophylla|11|12|12|1|0|0|0|0|0
Garcinia urschii|21|12|12|1|0|0|0|0|0
Garcinia venulosa|4|12|12|1|0|0|0|0|0
Garcinia verrucosa|261|12|12|1|0|0|0|0|0
Garcinia vidalii|3|12|12|1|0|0|0|0|1
Garcinia vidua|1|12|12|1|0|0|0|0|1
Garcinia vieillardii|10|12|12|1|0|0|0|0|0
Garcinia vilersiana|4|12|12|1|0|0|0|0|0
Garcinia vitiensis|10|12|12|1|0|0|0|0|0
Garcinia volkensii|62|8.27|12|2|3|0|0|0|0
Garcinia warburgiana|4|12|12|1|0|0|0|0|1
Garcinia warrenii|180|12|12|1|0|0|0|0|0
Garcinia wightii|1|12|12|1|0|0|0|0|1
Garcinia xanthochymus|59|12|12|1|0|0|0|0|0
Garcinia yunnanensis|2|12|12|1|0|0|0|0|0
Garcinia zeylanica|1|12|12|1|0|0|0|0|1
Gardenia actinocarpa|18|12|12|1|0|0|0|0|0
Gardenia annamensis|1|12|12|1|0|0|0|0|0
Gardenia aqualla|583|12|12|1|0|0|0|0|0
Gardenia aubryi|27|12|12|1|0|0|0|0|0
Gardenia barnesii|3|12|12|1|0|0|0|0|1
Gardenia beamanii|2|12|12|1|0|0|0|0|1
Gardenia brachythamnus|13|12|12|1|0|0|0|0|0
Gardenia brevicalyx|16|12|12|1|0|0|0|0|0
Gardenia brighamii|7|12|12|1|0|0|0|0|0
Gardenia carinata|15|12|12|1|0|0|0|0|1
Gardenia chanii|3|12|12|1|0|0|0|0|0
Gardenia colnettiana|2|12|12|1|0|0|0|0|0
Gardenia cornuta|28|12|12|1|0|0|0|0|0
Gardenia coronaria|11|12|12|1|0|0|0|0|0
Gardenia crameri|1|12|12|1|0|0|0|0|1
Gardenia dacryoides|77|12|12|1|0|0|0|0|0
Gardenia elata|47|12|12|1|0|0|0|0|1
