species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Marquesia acuminata,9,-0.24,-0.01,0,0,1,0,0,0,0,moist (1)
Marquesia excelsa,61,0.07,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Marquesia macroura,7,-0.37,-0.27,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Marsdenia crinita,7,-0.36,-0.13,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Marshallocereus aragonii,63,-0.55,0.34,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Marsypopetalum littorale,2,0.4,0.47,0,1,0,0,0,0,0,wet (1)
Marsypopetalum modestum,6,-0.24,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
Marsypopetalum pallidum,13,0.2,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Martellidendron androcephalanthos,12,-0.02,0.28,0,2,3,0,0,0,0,wet (2) | moist (3)
Martellidendron cruciatum,12,0.02,0.45,0,1,0,0,0,0,0,wet (1)
Martellidendron gallinarum,3,0.2,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Martellidendron hornei,1,0.47,0.47,0,1,0,0,0,0,0,wet (1)
Martellidendron karaka,20,0.28,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Martellidendron kariangense,2,0.32,0.42,0,1,0,0,0,0,0,wet (1)
Martiodendron elatum,25,-0.21,0.32,0,2,3,0,0,0,0,wet (2) | moist (3)
Martiodendron excelsum,22,-0.08,0.3,0,2,3,0,0,0,0,wet (2) | moist (3)
Martiodendron fluminense,7,-0.3,-0.12,0,0,1,0,0,0,0,moist (1)
Martiodendron mediterraneum,92,-0.49,0.09,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Martiodendron parviflorum,18,-0.1,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Martretia quadricornis,46,-0.33,0.37,0,2,3,0,0,0,0,wet (2) | moist (3)
Mascarenhasia arborescens,397,-0.33,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mascarenhasia havetii,17,0.0,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mascarenhasia lanceolata,41,-0.11,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Mascarenhasia lisianthiflora,182,-0.6,0.12,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Mascarenhasia macrosiphon,11,0.07,0.45,0,1,0,0,0,0,0,wet (1)
Mascarenhasia rubra,2,0.3,0.35,0,1,0,0,0,0,0,wet (1)
Mascarenhasia speciosa,36,-0.36,0.35,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Mascarenhasia tampinensis,7,0.31,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maschalostachys markgrafii,21,-0.42,-0.22,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Masoala kona,12,0.21,0.44,0,1,0,0,0,0,0,wet (1)
Masoala madagascariensis,13,0.05,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Massularia acuminata,437,-0.06,0.54,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mastixia arborea,5,0.17,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixia caudatilimba,3,0.06,0.13,0,1,0,0,0,0,0,wet (1)
Mastixia cuspidata,9,0.01,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixia eugenioides,5,0.49,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixia euonymoides,4,-0.23,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Mastixia glauca,2,0.62,0.63,1,0,0,0,0,0,0,very wet (1)
Mastixia kaniensis,33,0.36,0.72,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixia macrocarpa,2,0.51,0.53,1,0,0,0,0,0,0,very wet (1)
Mastixia nimalii,1,0.68,0.68,1,0,0,0,0,0,0,very wet (1)
Mastixia octandra,1,0.38,0.38,0,1,0,0,0,0,0,wet (1)
Mastixia pentandra,36,-0.12,0.58,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mastixia rostrata,48,0.03,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixia tetrandra,3,0.43,0.68,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixia tetrapetala,1,0.64,0.64,1,0,0,0,0,0,0,very wet (1)
Mastixia trichophylla,1,0.65,0.65,1,0,0,0,0,0,0,very wet (1)
Mastixia trichotoma,38,0.18,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixiodendron pachyclados,30,0.26,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixiodendron plectocarpum,4,0.65,0.67,1,0,0,0,0,0,0,very wet (1)
Mastixiodendron smithii,8,0.29,0.73,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mastixiodendron stoddardii,6,0.52,0.72,1,0,0,0,0,0,0,very wet (1)
Matayba adenanthera,33,0.19,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matayba apetala,109,-0.32,0.54,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matayba arborescens,283,-0.1,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matayba atropurpurea,11,0.41,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matayba boliviana,10,-0.42,0.13,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Matayba camptoneura,81,0.09,0.41,0,1,0,0,0,0,0,wet (1)
Matayba clavelligera,44,0.11,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matayba cristae,14,0.22,0.45,0,1,0,0,0,0,0,wet (1)
Matayba discolor,83,-0.21,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba domingensis,25,-0.2,0.4,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba elaeagnoides,363,-0.22,0.3,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba elegans,115,-0.26,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matayba glaberrima,52,0.04,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matayba grandis,10,-0.04,0.35,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba guianensis,806,-0.39,0.43,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Matayba heterophylla,81,-0.54,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Matayba inelegans,204,0.01,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matayba ingifolia,25,0.24,0.66,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matayba intermedia,61,-0.07,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba juglandifolia,65,-0.29,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matayba kavanayena,3,0.27,0.47,0,1,0,0,0,0,0,wet (1)
Matayba longipes,14,-0.33,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba macrocarpa,14,0.04,0.46,0,1,0,0,0,0,0,wet (1)
Matayba marginata,49,-0.43,0.18,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Matayba mexicana,5,0.22,0.35,0,1,0,0,0,0,0,wet (1)
Matayba mollis,45,-0.41,0.13,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Matayba obovata,5,0.03,0.31,0,1,0,0,0,0,0,wet (1)
Matayba opaca,129,0.14,0.46,0,1,0,0,0,0,0,wet (1)
Matayba oppositifolia,207,-0.42,0.56,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Matayba peruviana,57,-0.05,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba ptariana,38,0.25,0.42,0,1,0,0,0,0,0,wet (1)
Matayba punctata,5,-0.45,0.0,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Matayba purgans,115,-0.02,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matayba robusta,2,-0.01,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Matayba scrobiculata,80,-0.48,0.52,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Matayba spruceana,27,0.0,0.44,0,1,0,0,0,0,0,wet (1)
Matayba stenodictya,12,0.34,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matayba sylvatica,51,-0.16,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matayba yutajensis,5,0.29,0.47,0,1,0,0,0,0,0,wet (1)
Matisia alata,5,-0.52,0.47,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Matisia alchornifolia,19,-0.06,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matisia amplifolia,8,-0.32,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matisia anchicayana,2,0.42,0.49,0,1,0,0,0,0,0,wet (1)
Matisia arteagensis,29,0.15,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia bicolor,32,-0.17,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matisia bolivarii,34,0.09,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia bracteolosa,190,0.25,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia bullata,13,0.75,0.8,1,0,0,0,0,0,0,very wet (1)
Matisia calimana,11,0.33,0.78,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia carderi,1,0.14,0.14,0,1,0,0,0,0,0,wet (1)
Matisia castano,65,0.09,0.78,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia coloradorum,18,-0.11,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matisia cordata,34,-0.1,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matisia cornu-copiae,11,0.04,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia cuatrecasana,1,0.76,0.76,1,0,0,0,0,0,0,very wet (1)
Matisia exalata,22,0.34,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia floccosa,17,0.28,0.65,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia gentryi,2,0.74,0.77,1,0,0,0,0,0,0,very wet (1)
Matisia giacomettoi,36,0.0,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia glandifera,39,0.25,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia hirsutissima,4,0.77,0.79,1,0,0,0,0,0,0,very wet (1)
Matisia hirta,2,0.74,0.78,1,0,0,0,0,0,0,very wet (1)
Matisia huallagensis,2,0.52,0.52,1,0,0,0,0,0,0,very wet (1)
Matisia idroboi,76,0.19,0.72,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia lasiocalyx,92,0.22,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia lecythicarpa,12,0.33,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia leptandra,1,0.41,0.41,0,1,0,0,0,0,0,wet (1)
Matisia longiflora,38,0.18,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia longipes,12,-0.27,0.73,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Matisia longitubulosa,2,0.01,0.25,0,1,0,0,0,0,0,wet (1)
Matisia lozanoi,2,-0.12,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Matisia malacocalyx,8,0.38,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia obliquifolia,22,0.19,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia oblongifolia,31,0.3,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia ochrocalyx,99,0.1,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia palenquiana,1,0.43,0.43,0,1,0,0,0,0,0,wet (1)
Matisia putumayensis,2,-0.57,0.45,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Matisia racemifera,8,0.61,0.78,1,0,0,0,0,0,0,very wet (1)
Matisia sanblasensis,1,0.33,0.33,0,1,0,0,0,0,0,wet (1)
Matisia soegengii,27,0.02,0.74,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia spathacea,9,0.52,0.76,1,0,0,0,0,0,0,very wet (1)
Matisia stenopetala,16,0.17,0.41,0,1,0,0,0,0,0,wet (1)
Matisia tinamastiana,9,0.4,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matisia uribei,1,0.33,0.33,0,1,0,0,0,0,0,wet (1)
Matisia valdes-bermejoi,6,0.76,0.78,1,0,0,0,0,0,0,very wet (1)
Matisia victoriana,7,0.52,0.78,1,0,0,0,0,0,0,very wet (1)
Mattfeldanthus andrade-limae,24,-0.69,-0.22,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Matthaea sancta,13,0.18,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matudaea colombiana,10,0.3,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Matudaea trinervia,156,-0.3,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mauloutchia annickiae,2,-0.18,0.05,0,2,3,0,0,0,0,wet (2) | moist (3)
Mauloutchia capuronii,5,0.44,0.47,0,1,0,0,0,0,0,wet (1)
Mauloutchia chapelieri,46,0.04,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mauloutchia coriacea,9,-0.02,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Mauloutchia echinocarpa,6,0.02,0.42,0,1,0,0,0,0,0,wet (1)
Mauloutchia heckelii,4,0.22,0.36,0,1,0,0,0,0,0,wet (1)
Mauloutchia humblotii,1,-0.08,-0.08,0,0,1,0,0,0,0,moist (1)
Mauloutchia parvifolia,13,0.07,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mauloutchia sambiranensis,4,0.13,0.19,0,1,0,0,0,0,0,wet (1)
Mauria cuatrecasasii,4,-0.39,0.26,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Mauria ferruginea,58,-0.33,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mauria heterophylla,394,-0.5,0.55,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Mauria membranifolia,3,-0.52,-0.14,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Mauria obtusifolia,1,0.21,0.21,0,1,0,0,0,0,0,wet (1)
Mauria peruviana,7,-0.56,0.01,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Mauria simplicifolia,64,-0.64,0.45,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Mauria subserrata,31,-0.49,0.15,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Mauria thaumatophylla,43,-0.63,-0.37,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Mauritia carana,30,0.33,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mauritia flexuosa,440,-0.28,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mauritiella aculeata,82,-0.25,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mauritiella armata,162,-0.39,0.51,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Mauritiella macroclada,17,0.69,0.79,1,0,0,0,0,0,0,very wet (1)
Maxburretia furtadoana,1,0.15,0.15,0,1,0,0,0,0,0,wet (1)
Maxburretia gracilis,2,0.39,0.4,0,1,0,0,0,0,0,wet (1)
Maxwellia lepidota,42,-0.09,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Mayna grandifolia,92,-0.31,0.67,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mayna odorata,660,0.02,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mayna pubescens,1,-0.01,-0.01,0,0,1,0,0,0,0,moist (1)
Mayna suaveolens,5,0.02,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Mayna yasuniana,46,-0.01,0.63,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Mayodendron igneum,8,-0.27,0.29,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus alaternoides,11,-0.28,0.15,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus albata,5,-0.65,-0.55,0,0,0,0,1,0,0,semi-arid (1)
Maytenus amazonica,8,0.25,0.49,0,1,0,0,0,0,0,wet (1)
Maytenus apurimacensis,5,-0.61,-0.23,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus aquifolium,121,-0.24,0.25,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus ardisiifolia,32,-0.26,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus belizensis,26,-0.47,0.52,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Maytenus boaria,376,-0.7,0.42,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus boarioides,3,-0.03,-0.02,0,0,1,0,0,0,0,moist (1)
Maytenus brasiliensis,50,-0.27,0.3,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus buxifolia,50,-0.61,0.09,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus cassineformis,17,-0.05,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus cestrifolia,23,-0.14,0.49,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus chapadensis,8,-0.14,0.16,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus chiapensis,24,-0.51,0.23,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus communis,19,-0.26,0.39,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus cordata,23,-0.37,-0.04,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Maytenus crassipes,2,0.21,0.37,0,1,0,0,0,0,0,wet (1)
Maytenus dasyclados,28,-0.14,0.34,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus distichophylla,35,-0.46,0.4,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus domingensis,27,-0.43,0.19,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus duqueana,3,0.33,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus durifolia,3,-0.72,-0.61,0,0,0,0,1,0,0,semi-arid (1)
Maytenus ebenifolia,41,-0.36,0.63,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Maytenus eggersii,22,-0.54,0.3,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus elongata,10,0.15,0.39,0,1,0,0,0,0,0,wet (1)
Maytenus evonymoides,174,-0.27,0.38,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus ficiformis,39,-0.09,0.59,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Maytenus floribunda,179,-0.49,0.16,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus glaucescens,38,0.07,0.42,0,1,0,0,0,0,0,wet (1)
Maytenus gonoclada,324,-0.4,0.44,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus grisea,5,0.41,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus guatemalensis,20,-0.53,0.12,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus guyanensis,86,-0.11,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Maytenus haitiensis,1,-0.09,-0.09,0,0,1,0,0,0,0,moist (1)
Maytenus horrida,2,-0.44,-0.43,0,0,0,1,0,0,0,dry sub-humid (1)
Maytenus huberi,11,0.21,0.38,0,1,0,0,0,0,0,wet (1)
Maytenus ilicifolia,288,-0.42,0.31,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus jamaicensis,4,0.07,0.43,0,1,0,0,0,0,0,wet (1)
Maytenus jefeana,7,0.22,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus jelskii,29,-0.61,-0.16,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus kanukuensis,8,-0.11,0.15,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus karstenii,7,-0.41,-0.06,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Maytenus laevigata,37,-0.38,0.31,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus laevis,38,0.28,0.49,0,1,0,0,0,0,0,wet (1)
Maytenus laurina,3,0.26,0.42,0,1,0,0,0,0,0,wet (1)
Maytenus laxiflora,19,-0.13,0.54,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Maytenus longifolia,4,-0.19,0.01,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus macrocarpa,126,-0.41,0.64,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Maytenus macrophylla,12,-0.45,0.17,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus manabiensis,1,-0.56,-0.56,0,0,0,0,1,0,0,semi-arid (1)
Maytenus megalocarpa,5,-0.48,0.24,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus meguillensis,16,-0.29,0.26,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus microcarpa,2,0.25,0.33,0,1,0,0,0,0,0,wet (1)
Maytenus myrsinoides,30,0.03,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus neblinae,2,0.06,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus oblongata,58,0.04,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus obtusifolia,163,-0.48,0.28,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus ocoensis,2,-0.12,-0.12,0,0,1,0,0,0,0,moist (1)
Maytenus oleoides,236,-0.86,-0.26,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Maytenus patens,47,-0.61,0.29,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus peduncularis,125,-0.57,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus peruana,2,-0.5,-0.49,0,0,0,1,0,0,0,dry sub-humid (1)
Maytenus phyllanthoides,291,-0.94,-0.45,0,0,0,2,9,3,0,dry sub-humid (2) | semi-arid (9) | arid (3)
Maytenus pittieriana,4,-0.18,0.05,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus planifolia,9,0.04,0.37,0,1,0,0,0,0,0,wet (1)
Maytenus ponceana,11,-0.07,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus procumbens,74,-0.63,-0.04,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus pruinosa,23,-0.17,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus prunifolia,23,0.26,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus psammophila,22,-0.75,-0.63,0,0,0,0,1,0,0,semi-arid (1)
Maytenus pseudoboaria,2,-0.66,-0.46,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Maytenus purpusii,18,-0.3,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Maytenus pustulata,4,0.14,0.38,0,1,0,0,0,0,0,wet (1)
Maytenus quadrangulata,15,-0.56,-0.17,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus radlkoferiana,1,0.21,0.21,0,1,0,0,0,0,0,wet (1)
Maytenus recondita,47,0.38,0.65,2,3,0,0,0,0,0,very wet (2) | wet (3)
Maytenus repanda,15,-0.55,0.38,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus retusa,3,-0.67,-0.27,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus reynosioides,3,-0.6,-0.03,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus rigida,208,-0.74,-0.17,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus samydiformis,6,-0.18,0.28,0,2,3,0,0,0,0,wet (2) | moist (3)
Maytenus schippii,86,-0.44,0.57,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Maytenus segoviarum,123,-0.27,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Maytenus sieberiana,28,-0.42,0.56,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Maytenus spinosa,74,-0.73,-0.3,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus sprucei,19,-0.39,0.48,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Maytenus stipitata,21,-0.44,-0.21,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Maytenus tetragona,2,-0.42,-0.24,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Maytenus truncata,25,-0.53,0.35,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus umbellata,2,-0.31,-0.25,0,0,1,0,0,0,0,moist (1)
Maytenus undata,506,-0.7,0.26,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus verticillata,73,-0.54,0.56,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Maytenus vexata,1,0.29,0.29,0,1,0,0,0,0,0,wet (1)
Maytenus viscifolia,27,-0.89,-0.54,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Maytenus vitis-idaea,69,-0.73,-0.14,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Maytenus woodsonii,43,0.49,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Medemia argun,4,-1.0,-0.99,0,0,0,0,0,0,1,hyper-arid (1)
Medicago arborea,866,-0.66,0.0,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Medicosma elliptica,14,-0.33,0.03,0,2,3,0,0,0,0,wet (2) | moist (3)
Medicosma fareana,91,0.2,0.65,2,3,0,0,0,0,0,very wet (2) | wet (3)
Medicosma obovata,10,0.37,0.44,0,1,0,0,0,0,0,wet (1)
Medinilla arboricola,3,0.09,0.19,0,1,0,0,0,0,0,wet (1)
Mediusella bernieri,33,-0.2,-0.02,0,0,1,0,0,0,0,moist (1)
Medusandra mpomiana,20,0.31,0.49,0,1,0,0,0,0,0,wet (1)
Medusandra richardsiana,16,0.47,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
