species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Meineckia paxii,11,-0.44,0.15,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Meineckia stipularis,5,-0.33,-0.23,0,0,1,0,0,0,0,moist (1)
Meineckia websteri,7,-0.43,-0.41,0,0,0,1,0,0,0,dry sub-humid (1)
Meiogyne baillonii,23,0.02,0.48,0,1,0,0,0,0,0,wet (1)
Meiogyne beccarii,1,0.59,0.59,1,0,0,0,0,0,0,very wet (1)
Meiogyne cylindrocarpa,142,-0.39,0.41,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Meiogyne lecardii,10,0.06,0.46,0,1,0,0,0,0,0,wet (1)
Meiogyne monosperma,9,0.18,0.49,0,1,0,0,0,0,0,wet (1)
Meiogyne pannosa,4,-0.17,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Meiogyne punctulata,25,-0.08,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Meiogyne virgata,85,0.2,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Meiostemon tetrandrus,5,-0.59,-0.39,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Melaleuca acacioides,457,-0.65,0.21,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca acutifolia,92,-0.85,-0.34,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Melaleuca alsophila,113,-0.8,-0.45,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Melaleuca alternifolia,316,-0.26,0.2,0,2,3,0,0,0,0,wet (2) | moist (3)
Melaleuca amydra,25,-0.8,-0.68,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca arcana,95,-0.18,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
