species,n,Q05,Q95,A,C,D,E,F,A18,Tmo10
Micropholis suborbicularis,9,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Micropholis trunciflora,36,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Micropholis venamoensis,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Micropholis venulosa,586,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Micropholis williamii,36,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microplumeria anomala,26,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microtropis bivalvis,24,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Microtropis discolor,29,10.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Microtropis elliptica,13,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Microtropis fascicularis,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microtropis fokienensis,85,6.06,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Microtropis grandifolia,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microtropis japonica,87,8.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Microtropis kinabaluensis,33,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Microtropis latifolia,3,7.0,9.0,0,2,3,0,0,0,tropical (minimum temperature of coldest month <18°C) (2) | subtropical (3)
Microtropis obliquinervia,3,9.0,10.0,0,1,0,0,0,0,tropical (minimum temperature of coldest month <18°C) (1)
Microtropis petelotii,4,9.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Microtropis platyphylla,31,0.81,12.0,2,9,9,9,3,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (9) | boreal (3)
Microtropis ramiflora,5,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Microtropis rigida,2,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microtropis sarawakensis,7,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microtropis sphaerocarpa,2,9.0,11.0,0,1,0,0,0,0,tropical (minimum temperature of coldest month <18°C) (1)
Microtropis sumatrana,2,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microtropis tenuis,2,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Microtropis tetragona,4,9.0,11.0,0,1,0,0,0,0,tropical (minimum temperature of coldest month <18°C) (1)
Microtropis thyrsiflora,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Microtropis valida,21,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Microtropis wallichiana,10,0.0,12.0,2,9,9,9,3,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (9) | boreal (3)
Mida salicifolia,232,6.09,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Mildbraedia carpinifolia,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mildbraedia paniculata,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mildbraediodendron excelsum,11,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Milicia excelsa,967,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Milicia regia,69,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa amplexicaulis,7,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Miliusa brahei,126,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa campanulata,14,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa cuneata,21,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa eupoda,13,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa horsfieldii,90,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa indica,2,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Miliusa macrocarpa,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa macropoda,12,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Miliusa mollis,10,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa parviflora,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Miliusa sclerocarpa,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa sinensis,20,9.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Miliusa tenuistipitata,2,9.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Miliusa thorelii,17,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa traceyi,135,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa velutina,15,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Miliusa wightiana,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia aboensis,5,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia acutiflora,4,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia ahernii,4,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia aromatica,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia aurea,44,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia bequaertii,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia boniana,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia borneensis,33,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia brachycarpa,10,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia brandisiana,24,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia bussei,25,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia capuronii,10,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia chrysophylla,59,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia conraui,5,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia cubittii,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia dinklagei,16,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia diptera,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia drastica,28,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia dubia,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia dura,41,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia eetveldeana,43,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia elongatistyla,18,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia eriocarpa,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia erythrocalyx,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia ferruginea,21,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia glabra,2,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia glaucescens,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia gracilis,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia grandis,59,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia griffoniana,161,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia hitsika,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia hockii,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia hylobia,5,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia ichthyochtona,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia irvinei,5,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia kangensis,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia lacus-alberti,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia lane-poolei,37,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia laurentii,39,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia lecomtei,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia lenneoides,53,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia leucantha,23,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia liberica,8,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia limbutuensis,7,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia longipes,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia macrophylla,31,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia macrostachya,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia macroura,13,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia mannii,78,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia micans,10,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia mossambicensis,30,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia nathaliae,21,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia nutans,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia oblata,51,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia oraria,2,6.0,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Millettia orientalis,8,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia pachycarpa,139,8.34,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Millettia pallens,33,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia peguensis,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia pinnata,261,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia podocarpa,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia psilopetala,44,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia pubinervis,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia pulchra,35,8.21,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Millettia rhodantha,65,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia richardiana,140,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia sacleuxii,5,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia sanagana,48,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia schliebenii,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia semseii,9,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia sericantha,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia setigera,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia stuhlmannii,54,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia taolanaroensis,31,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia tetraptera,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia thonningii,441,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia usaramensis,56,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia vatkei,8,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia velutina,12,9.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Millettia velvetina,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia versicolor,47,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia warneckei,84,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millettia wieringae,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia xylocarpa,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Millettia zechiana,151,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Millingtonia hortensis,48,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimetes arboreus,4,9.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimetes chrysanthus,11,10.0,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimetes fimbriifolius,74,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa acantholoba,347,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa acroconica,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa aculeaticarpa,1364,6.81,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Mimosa acutistipula,227,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa adenotricha,26,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa antioquensis,58,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa apodocarpa,28,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa arenosa,439,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa artemisiana,11,10.02,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa bahamensis,687,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa benthamii,273,11.09,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa bifurca,31,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa bimucronata,269,10.19,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa brevispicata,23,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa caduca,21,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa caesalpiniifolia,225,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa ceratonia,78,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa costenya,21,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa cubatanensis,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa dalyi,10,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa debilis,12,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa decorticans,15,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa detinens,47,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa dichroa,22,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa distachya,324,11.08,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa dupuyana,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa farinosa,48,9.47,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa flocculosa,25,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa galeottii,179,9.27,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa glutinosa,38,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa goldmanii,71,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa haavoa,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa hexandra,134,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa insignis,9,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa interrupta,17,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa irrigua,77,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa lacerata,143,11.09,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa lactiflua,160,10.19,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa laticifera,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa lepidota,29,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa leucaenoides,152,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa lingvatouana,9,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Mimosa mensicola,16,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa mollis,91,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa myuros,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa nothacacia,9,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa ophthalmocentra,270,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa ostenii,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa palmeri,91,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa paraibana,61,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa perplicata,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa pilulifera,82,10.3,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa platycarpa,96,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa polyantha,329,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa prainiana,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa pteridifolia,96,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa quadrivalvis,1485,6.17,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Mimosa quitensis,82,11.04,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa regina,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa regnellii,41,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa revoluta,27,4.25,12.0,2,9,3,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (3)
Mimosa rheiptera,10,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa rhodocarpa,81,11.04,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa rhododactyla,26,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa rosei,129,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa rufescens,142,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa scabrella,193,9.51,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimosa schomburgkii,38,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa sericantha,63,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa setosissima,22,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa sobralii,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa tenuiflora,657,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa townsendii,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa trianae,12,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa verrucosa,136,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimosa woodii,2,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimozyganthus carinatus,42,10.15,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Mimulopsis arborescens,47,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimusops acutifolia,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimusops aedificatoria,4,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Mimusops andongensis,112,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
