species|n|Q05|Q95|A|B|C|D|E|F|G
Eurya roemeri|3|0.38|0.73|2|3|0|0|0|0|0
Eurya rubiginosa|67|0.15|0.37|0|1|0|0|0|0|0
Eurya sakishimensis|5|0.57|0.6|1|0|0|0|0|0|0
Eurya saxicola|13|-0.24|0.42|0|2|3|0|0|0|0
Eurya semiserrulata|13|-0.23|0.31|0|2|3|0|0|0|0
Eurya septata|6|0.37|0.77|2|3|0|0|0|0|0
Eurya stenophylla|24|0.07|0.44|0|1|0|0|0|0|0
Eurya strigillosa|51|0.46|0.82|2|3|0|0|0|0|0
Eurya subintegra|1|0.34|0.34|0|1|0|0|0|0|0
Eurya taronensis|1|0.35|0.35|0|1|0|0|0|0|0
Eurya tetragonoclada|32|-0.02|0.36|0|2|3|0|0|0|0
Eurya tigang|50|0.21|0.62|2|3|0|0|0|0|0
Eurya tonkinensis|4|0.25|0.51|2|3|0|0|0|0|0
Eurya trichocarpa|43|0.03|0.58|2|3|0|0|0|0|0
Eurya tsaii|21|-0.28|0.27|0|2|3|0|0|0|0
Eurya vitiensis|12|0.35|0.77|2|3|0|0|0|0|0
Eurya wenshanensis|2|0.12|0.12|0|1|0|0|0|0|0
Eurya yaeyamensis|20|0.55|0.62|1|0|0|0|0|0|0
Eurya yunnanensis|4|-0.29|0.29|0|2|3|0|0|0|0
Eurycoma apiculata|2|0.41|0.5|2|3|0|0|0|0|0
Eurycoma longifolia|154|-0.23|0.61|2|9|3|0|0|0|0
Eurycorymbus cavaleriei|39|0.06|0.68|2|3|0|0|0|0|0
Eurydochus bracteatus|2|0.48|0.57|2|3|0|0|0|0|0
Euryodendron excelsum|2|0.14|0.29|0|1|0|0|0|0|0
Eurypetalum tessmannii|64|0.07|0.32|0|1|0|0|0|0|0
Eurypetalum unijugum|11|0.16|0.51|2|3|0|0|0|0|0
Eusideroxylon zwageri|49|0.14|0.61|2|3|0|0|0|0|0
Eustigma balansae|6|0.02|0.2|0|1|0|0|0|0|0
Eustigma honbaense|1|-0.06|-0.06|0|0|1|0|0|0|0
Eustigma oblongifolium|42|0.19|0.72|2|3|0|0|0|0|0
Euterpe broadwayi|5|0.1|0.39|0|1|0|0|0|0|0
Euterpe catinga|125|0.25|0.52|2|3|0|0|0|0|0
Euterpe edulis|215|-0.21|0.41|0|2|3|0|0|0|0
Euterpe longibracteata|17|-0.05|0.33|0|2|3|0|0|0|0
Euterpe luminosa|8|-0.39|-0.09|0|0|2|3|0|0|0
Euterpe oleracea|208|0.09|0.77|2|3|0|0|0|0|0
Euterpe precatoria|1114|-0.1|0.6|2|9|3|0|0|0|0
Euthemis leucocarpa|43|0.34|0.63|2|3|0|0|0|0|0
Euthemis minor|34|0.33|0.63|2|3|0|0|0|0|0
Euxylophora paraensis|7|0.24|0.47|0|1|0|0|0|0|0
Everistia vacciniifolia|285|-0.64|0.12|0|2|9|9|3|0|0
Evonymopsis humbertii|7|-0.46|0.42|0|2|9|3|0|0|0
Exarata chocoensis|14|-0.17|0.47|0|2|3|0|0|0|0
Exbucklandia longipetala|1|0.07|0.07|0|1|0|0|0|0|0
Exbucklandia populnea|86|-0.15|0.58|2|9|3|0|0|0|0
Exbucklandia tonkinensis|36|0.17|0.42|0|1|0|0|0|0|0
Excoecaria acerifolia|78|-0.44|0.3|0|2|9|3|0|0|0
Excoecaria acuminata|1|0.56|0.56|1|0|0|0|0|0|0
Excoecaria agallocha|562|-0.42|0.58|2|9|9|3|0|0|0
Excoecaria bantamensis|1|-0.16|-0.16|0|0|1|0|0|0|0
Excoecaria borneensis|14|0.3|0.59|2|3|0|0|0|0|0
Excoecaria bussei|25|-0.7|-0.31|0|0|2|9|3|0|0
Excoecaria cochinchinensis|82|-0.36|0.53|2|9|9|3|0|0|0
Excoecaria dallachyana|190|-0.59|0.14|0|2|9|9|3|0|0
Excoecaria formosana|24|0.01|0.65|2|3|0|0|0|0|0
Excoecaria goudotiana|23|-0.08|0.22|0|2|3|0|0|0|0
Excoecaria madagascariensis|44|-0.38|0.13|0|2|9|3|0|0|0
Excoecaria myrioneura|9|0.31|0.53|2|3|0|0|0|0|0
Excoecaria oppositifolia|21|-0.35|0.44|0|2|3|0|0|0|0
Excoecaria parvifolia|382|-0.69|-0.48|0|0|0|2|3|0|0
Excoecaria philippinensis|12|0.06|0.6|2|3|0|0|0|0|0
Excoecaria simii|32|-0.42|-0.02|0|0|2|3|0|0|0
Exellodendron barbatum|56|0.03|0.42|0|1|0|0|0|0|0
Exellodendron cordatum|76|-0.46|-0.08|0|0|2|3|0|0|0
Exellodendron coriaceum|53|0.07|0.47|0|1|0|0|0|0|0
Exellodendron gardneri|51|-0.55|-0.06|0|0|2|9|3|0|0
Exellodendron gracile|11|-0.25|-0.02|0|0|1|0|0|0|0
Exocarpos aphyllus|3971|-0.86|-0.62|0|0|0|0|2|3|0
Exocarpos clavatus|3|0.56|0.69|1|0|0|0|0|0|0
Exocarpos cupressiformis|14549|-0.54|0.19|0|2|9|9|3|0|0
Exocarpos gaudichaudii|10|-0.05|0.49|0|2|3|0|0|0|0
Exocarpos homalocladus|4|0.45|0.48|0|1|0|0|0|0|0
Exocarpos latifolius|1180|-0.6|0.19|0|2|9|9|3|0|0
Exocarpos menziesii|2|-0.2|0.24|0|2|3|0|0|0|0
Exocarpos neocaledonicus|25|0.02|0.48|0|1|0|0|0|0|0
Exocarpos phyllanthoides|16|0.09|0.58|2|3|0|0|0|0|0
Exocarpos sparteus|1836|-0.85|-0.44|0|0|0|2|9|3|0
Exostema acuminatum|7|-0.44|-0.06|0|0|2|3|0|0|0
Exostema angustifolium|1|0.26|0.26|0|1|0|0|0|0|0
Exostema caribaeum|468|-0.65|0.1|0|2|9|9|3|0|0
Exostema coriaceum|1|-0.13|-0.13|0|0|1|0|0|0|0
Exostema ixoroides|7|-0.39|0.42|0|2|9|3|0|0|0
Exostema lancifolium|2|0.33|0.35|0|1|0|0|0|0|0
Exostema longiflorum|25|-0.21|0.39|0|2|3|0|0|0|0
Exostema maynense|27|-0.27|0.61|2|9|3|0|0|0|0
Exostema myrtifolium|10|-0.25|0.49|0|2|3|0|0|0|0
Exostema nitens|18|-0.42|0.08|0|2|9|3|0|0|0
Exostema parviflorum|35|-0.39|0.24|0|2|9|3|0|0|0
Exostema purpureum|5|0.3|0.5|2|3|0|0|0|0|0
Exostema salicifolium|1|0.03|0.03|0|1|0|0|0|0|0
Exostema spinosum|15|-0.58|-0.21|0|0|2|9|3|0|0
Exostyles amazonica|5|0.18|0.29|0|1|0|0|0|0|0
Exostyles godoyensis|14|-0.19|0.03|0|2|3|0|0|0|0
Exostyles venusta|48|-0.28|0.39|0|2|3|0|0|0|0
Exothea copalillo|63|-0.71|-0.06|0|0|2|9|3|0|0
Exothea diphylla|109|-0.47|-0.16|0|0|2|3|0|0|0
Exothea paniculata|264|-0.47|0.45|0|2|9|3|0|0|0
Eysenhardtia adenostylis|77|-0.63|0.34|0|2|9|9|3|0|0
Eysenhardtia officinalis|4|-0.36|-0.19|0|0|2|3|0|0|0
Eysenhardtia orthocarpa|110|-0.83|-0.46|0|0|0|2|9|3|0
Eysenhardtia platycarpa|101|-0.66|-0.12|0|0|2|9|3|0|0
Eysenhardtia polystachya|1072|-0.74|-0.25|0|0|2|9|3|0|0
Eysenhardtia punctata|43|-0.76|-0.17|0|0|2|9|3|0|0
Eysenhardtia schizocalyx|5|-0.83|-0.7|0|0|0|0|2|3|0
Eysenhardtia subcoriacea|5|-0.69|-0.46|0|0|0|2|3|0|0
Eysenhardtia texana|614|-0.77|-0.39|0|0|0|2|3|0|0
Facheiroa cephaliomelana|2|-0.53|-0.48|0|0|0|2|3|0|0
Facheiroa squamosa|21|-0.75|-0.5|0|0|0|2|3|0|0
Facheiroa ulei|2|-0.71|-0.62|0|0|0|0|1|0|0
Fadogia erythrophloea|117|-0.47|-0.25|0|0|2|3|0|0|0
Fadogia tomentosa|14|-0.72|-0.01|0|0|2|9|3|0|0
Fagaropsis angolensis|48|-0.48|-0.07|0|0|2|3|0|0|0
Fagaropsis glabra|3|-0.21|0.37|0|2|3|0|0|0|0
Fagaropsis hildebrandtii|7|-0.63|0.14|0|2|9|9|3|0|0
Fagraea auriculata|28|0.05|0.63|2|3|0|0|0|0|0
Fagraea berteroana|190|-0.05|0.68|2|9|3|0|0|0|0
Fagraea blumei|46|0.27|0.64|2|3|0|0|0|0|0
Fagraea bodenii|32|0.28|0.76|2|3|0|0|0|0|0
Fagraea borneensis|11|0.05|0.62|2|3|0|0|0|0|0
Fagraea ceilanica|203|-0.26|0.67|2|9|3|0|0|0|0
Fagraea curtisii|1|0.31|0.31|0|1|0|0|0|0|0
Fagraea gracilipes|48|0.14|0.67|2|3|0|0|0|0|0
Fagraea involucrata|2|0.43|0.43|0|1|0|0|0|0|0
Fagraea kalimantanensis|2|0.53|0.54|1|0|0|0|0|0|0
Fagraea kinabaluensis|3|0.4|0.55|2|3|0|0|0|0|0
Fagraea macroscypha|15|0.24|0.61|2|3|0|0|0|0|0
Fagraea oreophila|3|0.57|0.58|1|0|0|0|0|0|0
Fagraea resinosa|6|0.44|0.61|2|3|0|0|0|0|0
Fagraea salticola|20|0.36|0.7|2|3|0|0|0|0|0
Fagraea tacapala|5|0.26|0.58|2|3|0|0|0|0|0
Fagraea woodiana|14|0.33|0.7|2|3|0|0|0|0|0
Faguetia falcata|8|0.44|0.51|2|3|0|0|0|0|0
Fagus crenata|1118|0.28|0.65|2|3|0|0|0|0|0
Fagus engleriana|39|-0.34|0.44|0|2|3|0|0|0|0
Fagus grandifolia|13217|-0.11|0.37|0|2|3|0|0|0|0
Fagus hayatae|48|0.62|0.71|1|0|0|0|0|0|0
Fagus japonica|570|0.22|0.6|2|3|0|0|0|0|0
Fagus lucida|42|-0.1|0.37|0|2|3|0|0|0|0
Fagus orientalis|214|-0.43|0.56|2|9|9|3|0|0|0
Fagus sinensis|165|-0.02|0.45|0|2|3|0|0|0|0
Fagus sylvatica|176985|-0.2|0.5|2|9|3|0|0|0|0
Faidherbia albida|708|-0.94|-0.42|0|0|0|2|9|3|0
Falcataria falcata|201|-0.23|0.65|2|9|3|0|0|0|0
Falcataria pullenii|4|0.14|0.36|0|1|0|0|0|0|0
Falcataria toona|100|-0.38|0.42|0|2|9|3|0|0|0
Falcatifolium angustum|3|0.4|0.54|2|3|0|0|0|0|0
Falcatifolium falciforme|26|0.31|0.61|2|3|0|0|0|0|0
Falcatifolium gruezoi|4|0.37|0.56|2|3|0|0|0|0|0
Falcatifolium papuanum|24|0.19|0.61|2|3|0|0|0|0|0
Falcatifolium taxoides|76|0.35|0.69|2|3|0|0|0|0|0
Falconeria insignis|29|-0.44|0.65|2|9|9|3|0|0|0
Faramea accumulans|4|0.5|0.53|1|0|0|0|0|0|0
Faramea acuminatissima|1|0.43|0.43|0|1|0|0|0|0|0
Faramea ampla|10|0.1|0.76|2|3|0|0|0|0|0
Faramea amplifolia|4|0.32|0.52|2|3|0|0|0|0|0
Faramea angusta|7|0.44|0.62|2|3|0|0|0|0|0
Faramea anisocalyx|210|-0.01|0.53|2|9|3|0|0|0|0
Faramea anisodonta|1|0.56|0.56|1|0|0|0|0|0|0
Faramea areolata|22|0.43|0.59|2|3|0|0|0|0|0
Faramea atlantica|9|-0.19|0.42|0|2|3|0|0|0|0
Faramea axillaris|54|0.27|0.63|2|3|0|0|0|0|0
Faramea bahiensis|9|-0.25|0.39|0|2|3|0|0|0|0
Faramea bangii|50|-0.48|0.46|0|2|9|3|0|0|0
Faramea berryi|11|0.13|0.49|0|1|0|0|0|0|0
Faramea bicolor|20|0.14|0.43|0|1|0|0|0|0|0
Faramea biflora|16|-0.41|0.45|0|2|9|3|0|0|0
Faramea boomii|25|-0.01|0.56|2|9|3|0|0|0|0
Faramea brachyloba|4|-0.11|-0.09|0|0|1|0|0|0|0
Faramea brachysiphon|28|0.09|0.52|2|3|0|0|0|0|0
Faramea bracteata|34|-0.2|0.17|0|2|3|0|0|0|0
Faramea brevipes|17|0.17|0.41|0|1|0|0|0|0|0
Faramea calophylla|55|0.41|0.79|2|3|0|0|0|0|0
Faramea calyciflora|16|-0.28|0.44|0|2|3|0|0|0|0
Faramea calyptrata|46|-0.11|0.61|2|9|3|0|0|0|0
Faramea campanella|6|-0.27|-0.04|0|0|1|0|0|0|0
Faramea campanularis|4|-0.11|-0.09|0|0|1|0|0|0|0
Faramea candelabrum|78|-0.33|0.21|0|2|3|0|0|0|0
Faramea capillipes|427|-0.01|0.53|2|9|3|0|0|0|0
Faramea capulifolia|21|0.21|0.68|2|3|0|0|0|0|0
Faramea cardonae|4|0.2|0.38|0|1|0|0|0|0|0
Faramea caudata|23|-0.23|0.38|0|2|3|0|0|0|0
Faramea cobana|7|0|0.69|2|3|0|0|0|0|0
Faramea coerulea|40|-0.26|0.44|0|2|3|0|0|0|0
Faramea coerulescens|42|-0.46|0.36|0|2|9|3|0|0|0
Faramea coffeoides|29|0.01|0.64|2|3|0|0|0|0|0
Faramea correae|4|0.36|0.56|2|3|0|0|0|0|0
Faramea corymbosa|80|0|0.53|2|3|0|0|0|0|0
Faramea crassifolia|60|-0.11|0.32|0|2|3|0|0|0|0
Faramea cuspidata|18|0.05|0.67|2|3|0|0|0|0|0
Faramea cyathocalyx|9|0.3|0.6|2|3|0|0|0|0|0
Faramea dichotoma|4|-0.03|0.4|0|2|3|0|0|0|0
Faramea egregia|17|0.14|0.4|0|1|0|0|0|0|0
Faramea elegans|2|0.39|0.41|0|1|0|0|0|0|0
Faramea eurycarpa|111|0.33|0.63|2|3|0|0|0|0|0
Faramea exemplaris|38|0.2|0.66|2|3|0|0|0|0|0
Faramea fanshawei|1|0.35|0.35|0|1|0|0|0|0|0
Faramea filamentosa|3|-0.02|0.39|0|2|3|0|0|0|0
Faramea fragrans|21|0.23|0.77|2|3|0|0|0|0|0
Faramea frondosa|1|0.45|0.45|0|1|0|0|0|0|0
Faramea glandulosa|281|-0.04|0.63|2|9|3|0|0|0|0
Faramea grandifolia|43|0.14|0.78|2|3|0|0|0|0|0
Faramea guianensis|98|0.31|0.56|2|3|0|0|0|0|0
Faramea hyacinthina|84|-0.57|0.3|0|2|9|9|3|0|0
Faramea hymenocalyx|2|0.46|0.46|0|1|0|0|0|0|0
Faramea includens|1|-0.05|-0.05|0|0|1|0|0|0|0
Faramea insignis|63|0.09|0.79|2|3|0|0|0|0|0
Faramea irwinii|20|0.07|0.41|0|1|0|0|0|0|0
Faramea jasminoides|140|-0.23|0.52|2|9|3|0|0|0|0
Faramea juruana|27|0.02|0.51|2|3|0|0|0|0|0
Faramea langlassei|23|-0.25|0.7|2|9|3|0|0|0|0
Faramea larensis|3|-0.07|0.11|0|2|3|0|0|0|0
Faramea latifolia|39|-0.36|0.24|0|2|9|3|0|0|0
Faramea leucocalyx|1|-0.23|-0.23|0|0|1|0|0|0|0
Faramea liesneri|10|0.41|0.58|2|3|0|0|0|0|0
Faramea longistipula|14|0.4|0.6|2|3|0|0|0|0|0
Faramea lourteigiana|31|0.25|0.56|2|3|0|0|0|0|0
Faramea luteovirens|60|0.29|0.59|2|3|0|0|0|0|0
Faramea lutescens|17|0.32|0.8|2|3|0|0|0|0|0
Faramea macrura|8|0.36|0.57|2|3|0|0|0|0|0
Faramea maguirei|22|0.16|0.37|0|1|0|0|0|0|0
Faramea martiana|26|-0.39|0.35|0|2|9|3|0|0|0
Faramea miconioides|41|-0.26|0.55|2|9|3|0|0|0|0
Faramea micrantha|2|0.09|0.37|0|1|0|0|0|0|0
Faramea monantha|10|-0.38|0.41|0|2|9|3|0|0|0
Faramea monsalveae|16|0.56|0.78|1|0|0|0|0|0|0
Faramea montevidensis|121|-0.16|0.37|0|2|3|0|0|0|0
Faramea multiflora|1104|-0.2|0.6|2|9|3|0|0|0|0
Faramea neblinae|8|0.06|0.56|2|3|0|0|0|0|0
Faramea nigrescens|76|-0.48|0.12|0|2|9|3|0|0|0
Faramea nitida|51|-0.58|0.14|0|2|9|9|3|0|0
Faramea nocturna|20|0.2|0.46|0|1|0|0|0|0|0
Faramea oblongifolia|158|-0.18|0.63|2|9|3|0|0|0|0
Faramea obtusifolia|2|-0.01|0|0|2|3|0|0|0|0
Faramea occidentalis|1101|-0.32|0.55|2|9|3|0|0|0|0
Faramea oligantha|31|-0.27|0.39|0|2|3|0|0|0|0
Faramea oraria|5|-0.19|0.73|2|9|3|0|0|0|0
Faramea ovalis|61|0.05|0.66|2|3|0|0|0|0|0
Faramea pachyantha|32|-0.17|0.47|0|2|3|0|0|0|0
Faramea paniculata|21|-0.01|0.5|2|9|3|0|0|0|0
Faramea papillata|6|0.47|0.56|2|3|0|0|0|0|0
Faramea papirifolia|12|0.49|0.6|2|3|0|0|0|0|0
Faramea paratiensis|5|0.1|0.43|0|1|0|0|0|0|0
Faramea parvibractea|68|0.21|0.64|2|3|0|0|0|0|0
Faramea parvibracteata|1|0.09|0.09|0|1|0|0|0|0|0
Faramea pedunculata|9|0.03|0.56|2|3|0|0|0|0|0
Faramea permagnifolia|20|0.41|0.49|0|1|0|0|0|0|0
Faramea picinguabae|7|0.44|0.5|2|3|0|0|0|0|0
Faramea platyneura|16|0.3|0.41|0|1|0|0|0|0|0
Faramea platypoda|1|-0.17|-0.17|0|0|1|0|0|0|0
Faramea polytriadophora|4|0.19|0.33|0|1|0|0|0|0|0
Faramea porophylla|3|0.04|0.22|0|1|0|0|0|0|0
Faramea pseudospathacea|2|0.29|0.47|0|1|0|0|0|0|0
Faramea quinqueflora|218|0.06|0.63|2|3|0|0|0|0|0
Faramea scalaris|2|0.22|0.56|2|3|0|0|0|0|0
Faramea schultesii|20|-0.19|0.59|2|9|3|0|0|0|0
Faramea sellowiana|4|-0.29|-0.08|0|0|1|0|0|0|0
Faramea sessiliflora|51|-0.17|0.48|0|2|3|0|0|0|0
Faramea sessilifolia|169|-0.1|0.45|0|2|3|0|0|0|0
Faramea singularis|1|0.67|0.67|1|0|0|0|0|0|0
Faramea spathacea|45|-0.09|0.61|2|9|3|0|0|0|0
Faramea stenantha|1|0.39|0.39|0|1|0|0|0|0|0
Faramea stenopetala|3|-0.16|0.51|2|9|3|0|0|0|0
Faramea stipulacea|38|-0.35|0.44|0|2|3|0|0|0|0
Faramea subsessilis|13|0.13|0.64|2|3|0|0|0|0|0
Faramea suerrensis|190|0.45|0.62|2|3|0|0|0|0|0
Faramea tamberlikiana|223|0.08|0.56|2|3|0|0|0|0|0
Faramea tenuiflora|1|-0.23|-0.23|0|0|1|0|0|0|0
Faramea tetragona|15|0.26|0.57|2|3|0|0|0|0|0
Faramea tinguana|3|0.28|0.55|2|3|0|0|0|0|0
Faramea torquata|232|0|0.62|2|3|0|0|0|0|0
Faramea trinervia|45|0.42|0.62|2|3|0|0|0|0|0
Faramea vasquezii|13|0.32|0.52|2|3|0|0|0|0|0
Faramea verticillata|18|0.19|0.61|2|3|0|0|0|0|0
Faramea vidensis|5|-0.27|-0.12|0|0|1|0|0|0|0
Faramea yavitensis|7|0.38|0.46|0|1|0|0|0|0|0
Fatsia polycarpa|193|0.53|0.82|1|0|0|0|0|0|0
Faucherea ambrensis|38|-0.07|0.49|0|2|3|0|0|0|0
Faucherea glutinosa|23|-0.43|0.58|2|9|9|3|0|0|0
Faucherea hexandra|48|-0.27|0.56|2|9|3|0|0|0|0
Faucherea laciniata|34|-0.26|0.59|2|9|3|0|0|0|0
Faucherea longipedicellata|1|0.58|0.58|1|0|0|0|0|0|0
Faucherea manongarivensis|55|0.04|0.58|2|3|0|0|0|0|0
Faucherea parvifolia|60|-0.01|0.48|0|2|3|0|0|0|0
Faucherea sambiranensis|7|0.27|0.56|2|3|0|0|0|0|0
Faucherea tampoloensis|33|0.02|0.58|2|3|0|0|0|0|0
Faucherea thouvenotii|67|-0.15|0.57|2|9|3|0|0|0|0
Faucherea urschii|9|0.02|0.5|2|3|0|0|0|0|0
Faurea arborea|1|0.34|0.34|0|1|0|0|0|0|0
Faurea coriacea|7|0.23|0.28|0|1|0|0|0|0|0
Faurea delevoyi|7|-0.34|-0.07|0|0|1|0|0|0|0
Faurea forficuliflora|129|-0.32|0.31|0|2|3|0|0|0|0
Faurea galpinii|24|-0.56|-0.01|0|0|2|9|3|0|0
Faurea intermedia|2|-0.33|-0.11|0|0|1|0|0|0|0
Faurea macnaughtonii|32|-0.5|-0.05|0|0|2|3|0|0|0
Faurea racemosa|14|0.09|0.34|0|1|0|0|0|0|0
Faurea rochetiana|194|-0.5|0.11|0|2|9|3|0|0|0
Faurea rubriflora|3|-0.06|0.16|0|2|3|0|0|0|0
Faurea saligna|226|-0.63|0.04|0|2|9|9|3|0|0
Faurea wentzeliana|10|-0.37|0.24|0|2|9|3|0|0|0
Fegimanra acuminatissima|3|0.57|0.62|1|0|0|0|0|0|0
Fegimanra africana|32|-0.06|0.56|2|9|3|0|0|0|0
Fegimanra afzelii|3|-0.07|0.57|2|9|3|0|0|0|0
Fenerivia angustielliptica|4|0.42|0.6|2|3|0|0|0|0|0
Fenerivia capuronii|32|-0.47|0.48|0|2|9|3|0|0|0
Fenerivia chapelieri|17|0|0.61|2|3|0|0|0|0|0
Fenerivia ghesquiereana|55|-0.17|0.53|2|9|3|0|0|0|0
Fenerivia humbertii|22|-0.28|0.58|2|9|3|0|0|0|0
Fenerivia madagascariensis|6|-0.36|0|0|2|9|3|0|0|0
Fenerivia oligosperma|1|0.08|0.08|0|1|0|0|0|0|0
Fenerivia richardiana|15|-0.03|0.24|0|2|3|0|0|0|0
Ferdinandusa boomii|7|0.4|0.49|0|1|0|0|0|0|0
Ferdinandusa chlorantha|149|-0.18|0.55|2|9|3|0|0|0|0
Ferdinandusa dissimiliflora|7|0.29|0.41|0|1|0|0|0|0|0
Ferdinandusa edmundoi|17|-0.09|0.35|0|2|3|0|0|0|0
Ferdinandusa elliptica|166|-0.27|0.34|0|2|3|0|0|0|0
Ferdinandusa goudotiana|62|0.12|0.49|0|1|0|0|0|0|0
Ferdinandusa guainiae|39|-0.12|0.5|2|9|3|0|0|0|0
Ferdinandusa hirsuta|11|0.34|0.44|0|1|0|0|0|0|0
Ferdinandusa loretensis|71|0.06|0.53|2|3|0|0|0|0|0
Ferdinandusa neblinensis|11|0.39|0.45|0|1|0|0|0|0|0
Ferdinandusa panamensis|54|0.51|0.63|1|0|0|0|0|0|0
Ferdinandusa paraensis|33|0.14|0.56|2|3|0|0|0|0|0
Ferdinandusa rudgeoides|53|-0.12|0.51|2|9|3|0|0|0|0
Ferdinandusa speciosa|147|-0.34|0.13|0|2|3|0|0|0|0
Ferdinandusa sprucei|20|0.37|0.51|2|3|0|0|0|0|0
Ferdinandusa uaupensis|63|0.15|0.48|0|1|0|0|0|0|0
Feretia aeruginescens|46|-0.67|-0.19|0|0|2|9|3|0|0
Feretia apodanthera|1050|-0.82|-0.33|0|0|2|9|9|3|0
Fernandoa abbreviata|4|-0.37|0.08|0|2|9|3|0|0|0
Fernandoa adenophylla|28|-0.53|0.55|2|9|9|9|3|0|0
Fernandoa adolfi-friderici|17|-0.02|0.15|0|2|3|0|0|0|0
Fernandoa bracteata|1|0.18|0.18|0|1|0|0|0|0|0
Fernandoa brilletii|1|0.26|0.26|0|1|0|0|0|0|0
Fernandoa coccinea|13|-0.14|0.56|2|9|3|0|0|0|0
Fernandoa collignonii|1|0.34|0.34|0|1|0|0|0|0|0
Fernandoa ferdinandi|3|-0.03|0.14|0|2|3|0|0|0|0
Fernandoa lutea|2|-0.46|-0.3|0|0|2|3|0|0|0
Fernandoa macrantha|9|-0.27|0.19|0|2|3|0|0|0|0
Fernandoa madagascariensis|75|-0.69|-0.15|0|0|2|9|3|0|0
Fernandoa magnifica|15|-0.51|-0.23|0|0|2|9|3|0|0
Fernandoa serrata|5|-0.26|-0.04|0|0|1|0|0|0|0
Fernelia buxifolia|23|0.14|0.4|0|1|0|0|0|0|0
Ferocactus diguetii|29|-0.88|-0.8|0|0|0|0|2|3|0
Ferocactus gracilis|144|-0.95|-0.86|0|0|0|0|0|1|0
Ficalhoa laurifolia|64|-0.35|0.29|0|2|3|0|0|0|0
Ficus abelii|81|-0.27|0.47|0|2|3|0|0|0|0
Ficus abscondita|5|-0.48|0.49|0|2|9|3|0|0|0
Ficus abutilifolia|284|-0.75|-0.25|0|0|2|9|3|0|0
Ficus acamptophylla|39|0.33|0.63|2|3|0|0|0|0|0
Ficus acreana|3|0.27|0.63|2|3|0|0|0|0|0
Ficus adelpha|15|0.12|0.57|2|3|0|0|0|0|0
Ficus adenosperma|461|-0.31|0.64|2|9|3|0|0|0|0
Ficus adhatodifolia|222|-0.25|0.39|0|2|3|0|0|0|0
Ficus albert-smithii|72|0.08|0.48|0|1|0|0|0|0|0
Ficus albipila|74|-0.12|0.6|2|9|3|0|0|0|0
Ficus alongensis|2|-0.31|0.25|0|2|3|0|0|0|0
Ficus altissima|108|-0.35|0.46|0|2|3|0|0|0|0
Ficus amadiensis|7|-0.39|0.15|0|2|9|3|0|0|0
Ficus amazonica|109|-0.02|0.51|2|9|3|0|0|0|0
Ficus americana|1462|-0.27|0.56|2|9|3|0|0|0|0
Ficus ampana|14|-0.18|0.54|2|9|3|0|0|0|0
Ficus amplissima|10|-0.7|0.66|2|9|9|9|3|0|0
Ficus anastomosans|11|-0.32|0.23|0|2|3|0|0|0|0
Ficus androchaete|24|0.38|0.62|2|3|0|0|0|0|0
Ficus annulata|129|-0.29|0.6|2|9|3|0|0|0|0
Ficus anserina|4|-0.41|0.04|0|2|9|3|0|0|0
Ficus antandronarum|118|-0.43|0.36|0|2|9|3|0|0|0
Ficus apiocarpa|24|0.34|0.62|2|3|0|0|0|0|0
Ficus apollinaris|128|-0.08|0.56|2|9|3|0|0|0|0
Ficus arawaensis|3|0.62|0.63|1|0|0|0|0|0|0
Ficus archboldiana|8|0.09|0.59|2|3|0|0|0|0|0
Ficus ardisioides|73|0|0.56|2|3|0|0|0|0|0
Ficus aripuanensis|15|-0.18|0.36|0|2|3|0|0|0|0
Ficus armiti|50|0.3|0.6|2|3|0|0|0|0|0
Ficus arnottiana|21|-0.68|0.65|2|9|9|9|3|0|0
Ficus aspera|20|-0.39|0.58|2|9|9|3|0|0|0
Ficus asperifolia|332|-0.48|0.44|0|2|9|3|0|0|0
Ficus asperula|34|-0.02|0.59|2|9|3|0|0|0|0
Ficus assimilis|11|-0.67|0.39|0|2|9|9|3|0|0
Ficus atricha|246|-0.63|-0.12|0|0|2|9|3|0|0
Ficus aurantiacifolia|4|0.48|0.55|2|3|0|0|0|0|0
Ficus aurata|147|0.28|0.61|2|3|0|0|0|0|0
Ficus aurea|941|-0.41|0.51|2|9|9|3|0|0|0
Ficus auricoma|2|0.39|0.56|2|3|0|0|0|0|0
Ficus auriculata|185|-0.52|0.52|2|9|9|9|3|0|0
Ficus auriculigera|1|0.45|0.45|0|1|0|0|0|0|0
Ficus aurita|37|0.05|0.61|2|3|0|0|0|0|0
Ficus austrina|15|0.3|0.67|2|3|0|0|0|0|0
Ficus austrocaledonica|62|0.03|0.56|2|3|0|0|0|0|0
Ficus baccaureoides|6|0.48|0.66|2|3|0|0|0|0|0
Ficus badiopurpurea|4|0.38|0.59|2|3|0|0|0|0|0
Ficus bahiensis|54|-0.34|0.41|0|2|3|0|0|0|0
Ficus balete|4|0.29|0.5|2|3|0|0|0|0|0
Ficus banahaensis|7|0.25|0.65|2|3|0|0|0|0|0
Ficus banosensis|8|-0.37|0.15|0|2|9|3|0|0|0
Ficus barclayana|3|0.38|0.55|2|3|0|0|0|0|0
Ficus barteri|62|-0.34|0.36|0|2|3|0|0|0|0
Ficus bataanensis|12|0.07|0.67|2|3|0|0|0|0|0
Ficus beccarii|21|0.41|0.61|2|3|0|0|0|0|0
