species|n|Q05|Q95|A|B|C|D|E|F|G
Acacia conferta|595|-0.64|-0.47|0|0|0|2|3|0|0
Acacia confusa|340|-0.1|0.68|2|9|3|0|0|0|0
Acacia conniana|32|-0.71|-0.45|0|0|0|2|3|0|0
Acacia conspersa|148|-0.64|-0.1|0|0|2|9|3|0|0
Acacia constricta|67|-0.87|-0.66|0|0|0|0|2|3|0
Acacia continua|732|-0.83|-0.35|0|0|2|9|9|3|0
Acacia convallium|51|-0.28|-0.04|0|0|1|0|0|0|0
Acacia coolgardiensis|285|-0.85|-0.77|0|0|0|0|2|3|0
Acacia coriacea|269|-0.87|-0.69|0|0|0|0|2|3|0
Acacia covenyi|22|-0.24|-0.08|0|0|1|0|0|0|0
Acacia cowaniana|3|-0.79|-0.77|0|0|0|0|1|0|0
Acacia cowleana|406|-0.83|-0.59|0|0|0|0|2|3|0
Acacia craspedocarpa|177|-0.88|-0.83|0|0|0|0|0|1|0
Acacia crassa|596|-0.63|-0.36|0|0|0|2|3|0|0
Acacia crassicarpa|384|-0.39|0.42|0|2|9|3|0|0|0
Acacia crenulata|15|-0.83|-0.77|0|0|0|0|2|3|0
Acacia cretata|71|-0.66|-0.53|0|0|0|0|1|0|0
Acacia crombiei|45|-0.77|-0.7|0|0|0|0|1|0|0
Acacia cultriformis|335|-0.64|-0.19|0|0|2|9|3|0|0
Acacia curvinervia|122|-0.71|-0.55|0|0|0|0|1|0|0
Acacia cuspidifolia|39|-0.89|-0.85|0|0|0|0|0|1|0
Acacia cuthbertsonii|410|-0.88|-0.76|0|0|0|0|2|3|0
Acacia cyclops|1290|-0.78|-0.3|0|0|2|9|3|0|0
Acacia cyperophylla|239|-0.92|-0.8|0|0|0|0|2|3|0
Acacia dallachiana|98|-0.11|0.49|0|2|3|0|0|0|0
Acacia dangarensis|6|-0.52|-0.37|0|0|0|2|3|0|0
Acacia dawsonii|311|-0.51|-0.12|0|0|2|9|3|0|0
Acacia dealbata|24706|-0.5|0.41|0|2|9|3|0|0|0
Acacia deanei|2894|-0.71|-0.38|0|0|0|2|3|0|0
Acacia debilis|85|-0.61|-0.3|0|0|2|9|3|0|0
Acacia decora|2651|-0.7|-0.33|0|0|2|9|3|0|0
